Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
ahi,Safari 11,,2020-05-19 08:18:33,2020-05-19 08:31:23,12m - 50.087s,PASSED
,,,,,,
Test Cases/AHI/NEW/ACA Health Insurance,Safari 11,,2020-05-19 08:18:33,2020-05-19 08:19:14,41.136s,PASSED
"callTestCase(findTestCase(""AHI/_include/get_screenPath""), [""productLine"":""AHI"", ""carrierName"":""ACA Health Insurance""], CONTINUE_ON_FAILURE)",Safari 11,,2020-05-19 08:18:33,2020-05-19 08:18:35,1.247s,PASSED
i = 0,Safari 11,,2020-05-19 08:18:35,2020-05-19 08:18:35,0.001s,PASSED
"callTestCase(findTestCase(""AHI/_include/openWebSite""), [:], CONTINUE_ON_FAILURE)",Safari 11,,2020-05-19 08:18:35,2020-05-19 08:19:00,24.928s,PASSED
driver = getWebDriver(),Safari 11,,2020-05-19 08:19:00,2020-05-19 08:19:00,0.017s,PASSED
baseUrl = ENV,Safari 11,,2020-05-19 08:19:00,2020-05-19 08:19:00,0.001s,PASSED
"selenium = new com.thoughtworks.selenium.webdriven.WebDriverBackedSelenium(driver, baseUrl)",Safari 11,,2020-05-19 08:19:00,2020-05-19 08:19:00,0.127s,PASSED
"selenium.click(""//*[@class='filter-option-inner-inner']"")",Safari 11,,2020-05-19 08:19:00,2020-05-19 08:19:00,0.218s,PASSED
"selenium.click(""id=bs-select-1-0"")",Safari 11,,2020-05-19 08:19:00,2020-05-19 08:19:00,0.380s,PASSED
"selenium.click(""id=primaryCTA"")",Safari 11,,2020-05-19 08:19:00,2020-05-19 08:19:02,1.297s,PASSED
"for ([second = 0, second < 10, (second++)])",Safari 11,,2020-05-19 08:19:02,2020-05-19 08:19:06,4.511s,PASSED
"callTestCase(findTestCase(""AHI/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Safari 11,,2020-05-19 08:19:06,2020-05-19 08:19:08,1.585s,PASSED
"url = selenium.getAttribute(""xpath=(//a[@class='front-door-quote-button'])@href"")",Safari 11,,2020-05-19 08:19:08,2020-05-19 08:19:08,0.104s,PASSED
navigateToUrl(url),Safari 11,,2020-05-19 08:19:08,2020-05-19 08:19:12,4.331s,PASSED
waitForPageLoad(10),Safari 11,,2020-05-19 08:19:12,2020-05-19 08:19:12,0.155s,PASSED
