Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
hbi,Safari 11,hbi flow,,2019-12-06 13:57:25,2019-12-06 14:13:44,16m - 18.739s,INCOMPLETE
,,,,,,,
Test Cases/AHI/HBI/Agile One,Safari 11,Agile One application flow,,2019-12-06 13:57:25,2019-12-06 13:59:32,2m - 6.509s,FAILED
"callTestCase(findTestCase(""AHI/_include/get_screenPath""), [""productLine"":""hbi"", ""carrierName"":""Agile One""], CONTINUE_ON_FAILURE)",Safari 11,,,2019-12-06 13:57:26,2019-12-06 13:57:27,1.462s,PASSED
i = 0,Safari 11,,,2019-12-06 13:57:27,2019-12-06 13:57:27,0.001s,PASSED
"callTestCase(findTestCase(""AHI/_include/openWebSite""), [:], CONTINUE_ON_FAILURE)",Safari 11,,,2019-12-06 13:57:27,2019-12-06 13:57:36,8.980s,PASSED
"callTestCase(findTestCase(""AHI/_include/census_hbi""), [:], CONTINUE_ON_FAILURE)",Safari 11,,,2019-12-06 13:57:36,2019-12-06 13:58:14,37.844s,PASSED
Thread.sleep(5000),Safari 11,,,2019-12-06 13:58:14,2019-12-06 13:58:19,5.002s,PASSED
"scrollToPosition(200, 2300)",Safari 11,,,2019-12-06 13:58:19,2019-12-06 13:58:19,0.075s,PASSED
"click(findTestObject(""mobileSanity/HBI/quote/a_Agile One 750""))",Safari 11,,,2019-12-06 13:58:19,2019-12-06 13:58:30,10.995s,PASSED
waitForPageLoad(20),Safari 11,,,2019-12-06 13:58:30,2019-12-06 13:58:30,0.069s,PASSED
"waitForElementPresent(findTestObject(""mobileSanity/HBI/detail/a_Apply for This Plan""), 20)",Safari 11,,,2019-12-06 13:58:30,2019-12-06 13:58:31,0.137s,PASSED
"callTestCase(findTestCase(""AHI/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Safari 11,,,2019-12-06 13:58:31,2019-12-06 13:58:31,0.698s,PASSED
"click(findTestObject(""mobileSanity/HBI/detail/a_Apply for This Plan""))",Safari 11,,,2019-12-06 13:58:31,2019-12-06 13:58:32,1.104s,PASSED
waitForPageLoad(20),Safari 11,,,2019-12-06 13:58:32,2019-12-06 13:58:32,0.099s,PASSED
"waitForElementPresent(findTestObject(""mobileSanity/HBI/Page_Apply/span_Start Secure Application""), 20)",Safari 11,,,2019-12-06 13:58:32,2019-12-06 13:58:33,0.127s,PASSED
"callTestCase(findTestCase(""AHI/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Safari 11,,,2019-12-06 13:58:33,2019-12-06 13:58:33,0.594s,PASSED
"click(findTestObject(""mobileSanity/HBI/Page_Apply/span_Start Secure Application""))",Safari 11,,,2019-12-06 13:58:33,2019-12-06 13:58:35,1.314s,PASSED
waitForPageLoad(20),Safari 11,,,2019-12-06 13:58:35,2019-12-06 13:58:35,0.076s,PASSED
Thread.sleep(5000),Safari 11,,,2019-12-06 13:58:35,2019-12-06 13:58:40,5.003s,PASSED
"callTestCase(findTestCase(""AHI/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Safari 11,,,2019-12-06 13:58:40,2019-12-06 13:58:40,0.520s,PASSED
"callTestCase(findTestCase(""AHI/_include/goToEnd_hbi""), [""carrier"":""agileone""], CONTINUE_ON_FAILURE)",Safari 11,,,2019-12-06 13:58:40,2019-12-06 13:59:32,51.573s,FAILED
,,,,,,,
Test Cases/AHI/HBI/Legion Limited Medical,Safari 11,Axis Legion application flow,,2019-12-06 13:59:32,2019-12-06 14:01:35,2m - 2.683s,PASSED
"callTestCase(findTestCase(""AHI/_include/get_screenPath""), [""productLine"":""hbi"", ""carrierName"":""Legion Limited Medical""], CONTINUE_ON_FAILURE)",Safari 11,,,2019-12-06 13:59:32,2019-12-06 13:59:32,0.078s,PASSED
i = 0,Safari 11,,,2019-12-06 13:59:32,2019-12-06 13:59:32,0.001s,PASSED
"callTestCase(findTestCase(""AHI/_include/openWebSite""), [:], CONTINUE_ON_FAILURE)",Safari 11,,,2019-12-06 13:59:32,2019-12-06 13:59:41,8.351s,PASSED
"callTestCase(findTestCase(""AHI/_include/census_hbi""), [:], CONTINUE_ON_FAILURE)",Safari 11,,,2019-12-06 13:59:41,2019-12-06 14:00:19,37.872s,PASSED
"click(findTestObject(""mobileSanity/HBI/quote/a_Legion Limited Medical 500""))",Safari 11,,,2019-12-06 14:00:19,2019-12-06 14:00:30,11.120s,PASSED
waitForPageLoad(20),Safari 11,,,2019-12-06 14:00:30,2019-12-06 14:00:30,0.101s,PASSED
"callTestCase(findTestCase(""AHI/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Safari 11,,,2019-12-06 14:00:30,2019-12-06 14:00:30,0.585s,PASSED
"click(findTestObject(""mobileSanity/HBI/detail/a_Apply for This Plan""))",Safari 11,,,2019-12-06 14:00:30,2019-12-06 14:00:32,1.957s,PASSED
waitForPageLoad(20),Safari 11,,,2019-12-06 14:00:32,2019-12-06 14:00:32,0.148s,PASSED
