Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
hbi,Safari 11,hbi flow,2019-12-29 08:13:49,2019-12-29 08:25:35,11m - 46.701s,FAILED
,,,,,,
Test Cases/AHI/HBI/Agile One,Safari 11,Agile One application flow,2019-12-29 08:13:50,2019-12-29 08:14:53,1m - 3.583s,FAILED
"callTestCase(findTestCase(""AHI/_include/get_screenPath""), [""productLine"":""hbi"", ""carrierName"":""Agile One""], CONTINUE_ON_FAILURE)",Safari 11,,2019-12-29 08:13:51,2019-12-29 08:13:53,2.260s,PASSED
i = 0,Safari 11,,2019-12-29 08:13:53,2019-12-29 08:13:53,0.001s,PASSED
"callTestCase(findTestCase(""AHI/_include/openWebSite""), [:], CONTINUE_ON_FAILURE)",Safari 11,,2019-12-29 08:13:53,2019-12-29 08:14:04,11.118s,PASSED
"callTestCase(findTestCase(""AHI/_include/census_hbi""), [:], CONTINUE_ON_FAILURE)",Safari 11,,2019-12-29 08:14:04,2019-12-29 08:14:26,22.249s,PASSED
Thread.sleep(5000),Safari 11,,2019-12-29 08:14:26,2019-12-29 08:14:31,5.002s,PASSED
"scrollToPosition(200, 2300)",Safari 11,,2019-12-29 08:14:31,2019-12-29 08:14:31,0.019s,PASSED
"click(findTestObject(""mobileSanity/HBI/quote/a_Agile One 750""))",Safari 11,,2019-12-29 08:14:31,2019-12-29 08:14:53,21.898s,FAILED
,,,,,,
Test Cases/AHI/HBI/Legion Limited Medical,Safari 11,Axis Legion application flow,2019-12-29 08:14:53,2019-12-29 08:16:32,1m - 38.514s,PASSED
"callTestCase(findTestCase(""AHI/_include/get_screenPath""), [""productLine"":""hbi"", ""carrierName"":""Legion Limited Medical""], CONTINUE_ON_FAILURE)",Safari 11,,2019-12-29 08:14:54,2019-12-29 08:14:54,0.158s,PASSED
i = 0,Safari 11,,2019-12-29 08:14:54,2019-12-29 08:14:54,0.000s,PASSED
"callTestCase(findTestCase(""AHI/_include/openWebSite""), [:], CONTINUE_ON_FAILURE)",Safari 11,,2019-12-29 08:14:54,2019-12-29 08:15:03,9.496s,PASSED
"callTestCase(findTestCase(""AHI/_include/census_hbi""), [:], CONTINUE_ON_FAILURE)",Safari 11,,2019-12-29 08:15:03,2019-12-29 08:15:26,22.958s,PASSED
"click(findTestObject(""mobileSanity/HBI/quote/a_Legion Limited Medical 500""))",Safari 11,,2019-12-29 08:15:26,2019-12-29 08:15:28,1.666s,PASSED
waitForPageLoad(20),Safari 11,,2019-12-29 08:15:28,2019-12-29 08:15:28,0.009s,PASSED
"callTestCase(findTestCase(""AHI/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Safari 11,,2019-12-29 08:15:28,2019-12-29 08:15:28,0.478s,PASSED
"click(findTestObject(""mobileSanity/HBI/detail/a_Apply for This Plan""))",Safari 11,,2019-12-29 08:15:28,2019-12-29 08:15:29,1.097s,PASSED
waitForPageLoad(20),Safari 11,,2019-12-29 08:15:29,2019-12-29 08:15:29,0.018s,PASSED
"callTestCase(findTestCase(""AHI/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Safari 11,,2019-12-29 08:15:29,2019-12-29 08:15:30,0.725s,PASSED
"click(findTestObject(""mobileSanity/HBI/Page_Apply/span_Start Secure Application""))",Safari 11,,2019-12-29 08:15:30,2019-12-29 08:15:31,0.707s,PASSED
waitForPageLoad(20),Safari 11,,2019-12-29 08:15:31,2019-12-29 08:15:32,1.152s,PASSED
Thread.sleep(5000),Safari 11,,2019-12-29 08:15:32,2019-12-29 08:15:37,5.002s,PASSED
"callTestCase(findTestCase(""AHI/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Safari 11,,2019-12-29 08:15:37,2019-12-29 08:15:38,0.980s,PASSED
"callTestCase(findTestCase(""AHI/_include/goToEnd_hbi""), [""carrier"":""legionlimitedmedical""], CONTINUE_ON_FAILURE)",Safari 11,,2019-12-29 08:15:38,2019-12-29 08:16:32,53.684s,PASSED
,,,,,,
Test Cases/AHI/HBI/Cardinal Choice,Safari 11,Cardinal Choice application flow,2019-12-29 08:16:32,2019-12-29 08:17:28,56.583s,FAILED
"callTestCase(findTestCase(""AHI/_include/get_screenPath""), [""productLine"":""hbi"", ""carrierName"":""Cardinal Choice""], CONTINUE_ON_FAILURE)",Safari 11,,2019-12-29 08:16:32,2019-12-29 08:16:32,0.079s,PASSED
i = 0,Safari 11,,2019-12-29 08:16:32,2019-12-29 08:16:32,0.001s,PASSED
"callTestCase(findTestCase(""AHI/_include/openWebSite""), [:], CONTINUE_ON_FAILURE)",Safari 11,,2019-12-29 08:16:32,2019-12-29 08:16:39,7.205s,PASSED
"callTestCase(findTestCase(""AHI/_include/census_hbi""), [:], CONTINUE_ON_FAILURE)",Safari 11,,2019-12-29 08:16:39,2019-12-29 08:17:01,21.516s,PASSED
Thread.sleep(5000),Safari 11,,2019-12-29 08:17:01,2019-12-29 08:17:06,5.001s,PASSED
"scrollToPosition(200, 2300)",Safari 11,,2019-12-29 08:17:06,2019-12-29 08:17:06,0.021s,PASSED
"click(findTestObject(""mobileSanity/HBI/quote/a_Cardinal Choice""))",Safari 11,,2019-12-29 08:17:06,2019-12-29 08:17:28,22.585s,FAILED
,,,,,,
Test Cases/AHI/HBI/Core Shield,Safari 11,Core Shield application flow,2019-12-29 08:17:28,2019-12-29 08:19:06,1m - 37.718s,PASSED
"callTestCase(findTestCase(""AHI/_include/get_screenPath""), [""productLine"":""hbi"", ""carrierName"":""Core Shield""], CONTINUE_ON_FAILURE)",Safari 11,,2019-12-29 08:17:29,2019-12-29 08:17:29,0.101s,PASSED
i = 0,Safari 11,,2019-12-29 08:17:29,2019-12-29 08:17:29,0.000s,PASSED
"callTestCase(findTestCase(""AHI/_include/openWebSite""), [:], CONTINUE_ON_FAILURE)",Safari 11,,2019-12-29 08:17:29,2019-12-29 08:17:37,8.419s,PASSED
"callTestCase(findTestCase(""AHI/_include/census_hbi""), [:], CONTINUE_ON_FAILURE)",Safari 11,,2019-12-29 08:17:37,2019-12-29 08:17:57,19.500s,PASSED
Thread.sleep(5000),Safari 11,,2019-12-29 08:17:57,2019-12-29 08:18:02,5.001s,PASSED
"scrollToPosition(200, 2300)",Safari 11,,2019-12-29 08:18:02,2019-12-29 08:18:02,0.013s,PASSED
"click(findTestObject(""mobileSanity/HBI/quote/a_Core Shield""))",Safari 11,,2019-12-29 08:18:02,2019-12-29 08:18:02,0.598s,PASSED
waitForPageLoad(20),Safari 11,,2019-12-29 08:18:02,2019-12-29 08:18:02,0.075s,PASSED
"callTestCase(findTestCase(""AHI/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Safari 11,,2019-12-29 08:18:02,2019-12-29 08:18:04,1.383s,PASSED
"click(findTestObject(""mobileSanity/HBI/detail/a_Apply for This Plan""))",Safari 11,,2019-12-29 08:18:04,2019-12-29 08:18:04,0.379s,PASSED
waitForPageLoad(20),Safari 11,,2019-12-29 08:18:04,2019-12-29 08:18:04,0.033s,PASSED
"callTestCase(findTestCase(""AHI/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Safari 11,,2019-12-29 08:18:04,2019-12-29 08:18:05,0.973s,PASSED
"click(findTestObject(""mobileSanity/HBI/Page_Apply/span_Start Secure Application""))",Safari 11,,2019-12-29 08:18:05,2019-12-29 08:18:06,0.500s,PASSED
waitForPageLoad(20),Safari 11,,2019-12-29 08:18:06,2019-12-29 08:18:06,0.467s,PASSED
Thread.sleep(5000),Safari 11,,2019-12-29 08:18:06,2019-12-29 08:18:11,5.001s,PASSED
"callTestCase(findTestCase(""AHI/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Safari 11,,2019-12-29 08:18:11,2019-12-29 08:18:11,0.390s,PASSED
"callTestCase(findTestCase(""AHI/_include/goToEnd_hbi""), [""carrier"":""coreshield""], CONTINUE_ON_FAILURE)",Safari 11,,2019-12-29 08:18:11,2019-12-29 08:19:06,54.649s,PASSED
,,,,,,
Test Cases/AHI/HBI/Agile Secure,Safari 11,,2019-12-29 08:19:06,2019-12-29 08:20:19,1m - 12.513s,FAILED
"callTestCase(findTestCase(""AHI/_include/get_screenPath""), [""productLine"":""hbi"", ""carrierName"":""Agile Secure""], CONTINUE_ON_FAILURE)",Safari 11,,2019-12-29 08:19:08,2019-12-29 08:19:09,0.693s,PASSED
i = 0,Safari 11,,2019-12-29 08:19:09,2019-12-29 08:19:09,0.024s,PASSED
