Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
stm,Safari 11,,,2019-12-06 11:24:35,2019-12-06 11:38:27,13m - 52.606s,INCOMPLETE
,,,,,,,
Test Cases/AHI/stm/Slaico,Safari 11,,,2019-12-06 11:24:35,2019-12-06 11:26:55,2m - 19.291s,PASSED
"callTestCase(findTestCase(""AHI/_include/get_screenPath""), [""productLine"":""stm"", ""carrierName"":""Salico""], CONTINUE_ON_FAILURE)",Safari 11,,,2019-12-06 11:24:37,2019-12-06 11:24:38,0.708s,PASSED
i = 0,Safari 11,,,2019-12-06 11:24:38,2019-12-06 11:24:38,0.002s,PASSED
"callTestCase(findTestCase(""AHI/_include/openWebSite""), [:], STOP_ON_FAILURE)",Safari 11,,,2019-12-06 11:24:38,2019-12-06 11:24:47,9.175s,PASSED
"callTestCase(findTestCase(""AHI/_include/census_stm""), [""zipcode"":""60602""], STOP_ON_FAILURE)",Safari 11,,,2019-12-06 11:24:47,2019-12-06 11:25:23,36.584s,PASSED
"callTestCase(findTestCase(""AHI/_include/filter_stm""), [""carrier"":""slaico""], STOP_ON_FAILURE)",Safari 11,,,2019-12-06 11:25:23,2019-12-06 11:25:33,10.213s,PASSED
"callTestCase(findTestCase(""AHI/_include/goToDetail_stm""), [""carrier"":""slaico""], STOP_ON_FAILURE)",Safari 11,,,2019-12-06 11:25:33,2019-12-06 11:25:49,15.171s,PASSED
"callTestCase(findTestCase(""AHI/_include/apply_stm""), [:], STOP_ON_FAILURE)",Safari 11,,,2019-12-06 11:25:49,2019-12-06 11:25:57,8.797s,PASSED
"callTestCase(findTestCase(""AHI/_include/goToEnd_stm_autofill""), [:], STOP_ON_FAILURE)",Safari 11,,,2019-12-06 11:25:57,2019-12-06 11:26:55,57.068s,PASSED
,,,,,,,
Test Cases/AHI/stm/AdvantHealth,Safari 11,,,2019-12-06 11:26:55,2019-12-06 11:27:44,49.849s,FAILED
"callTestCase(findTestCase(""AHI/_include/get_screenPath""), [""productLine"":""stm"", ""carrierName"":""AdvantHealth""], CONTINUE_ON_FAILURE)",Safari 11,,,2019-12-06 11:26:55,2019-12-06 11:26:55,0.079s,PASSED
i = 0,Safari 11,,,2019-12-06 11:26:55,2019-12-06 11:26:55,0.001s,PASSED
"callTestCase(findTestCase(""AHI/_include/openWebSite""), [:], CONTINUE_ON_FAILURE)",Safari 11,,,2019-12-06 11:26:55,2019-12-06 11:27:02,6.967s,PASSED
"callTestCase(findTestCase(""AHI/_include/census_stm""), [""zipcode"":""35215""], STOP_ON_FAILURE)",Safari 11,,,2019-12-06 11:27:02,2019-12-06 11:27:19,17.228s,PASSED
"callTestCase(findTestCase(""AHI/_include/filter_stm""), [""carrier"":""advanthealth""], STOP_ON_FAILURE)",Safari 11,,,2019-12-06 11:27:19,2019-12-06 11:27:44,25.293s,FAILED
,,,,,,,
Test Cases/AHI/stm/Companion,Safari 11,,,2019-12-06 11:27:45,2019-12-06 11:30:03,2m - 18.471s,PASSED
"callTestCase(findTestCase(""AHI/_include/get_screenPath""), [""productLine"":""stm"", ""carrierName"":""Companion""], CONTINUE_ON_FAILURE)",Safari 11,,,2019-12-06 11:27:45,2019-12-06 11:27:45,0.073s,PASSED
i = 0,Safari 11,,,2019-12-06 11:27:45,2019-12-06 11:27:45,0.001s,PASSED
"callTestCase(findTestCase(""AHI/_include/openWebSite""), [:], CONTINUE_ON_FAILURE)",Safari 11,,,2019-12-06 11:27:45,2019-12-06 11:27:52,7.487s,PASSED
"callTestCase(findTestCase(""AHI/_include/census_stm""), [:], CONTINUE_ON_FAILURE)",Safari 11,,,2019-12-06 11:27:52,2019-12-06 11:28:27,35.194s,PASSED
"callTestCase(findTestCase(""AHI/_include/filter_stm""), [""carrier"":""pivotcompanion""], STOP_ON_FAILURE)",Safari 11,,,2019-12-06 11:28:27,2019-12-06 11:28:37,9.747s,PASSED
"callTestCase(findTestCase(""AHI/_include/goToDetail_stm""), [""carrier"":""pivot-health-choice""], STOP_ON_FAILURE)",Safari 11,,,2019-12-06 11:28:37,2019-12-06 11:28:52,14.826s,PASSED
"callTestCase(findTestCase(""AHI/_include/apply_stm""), [:], STOP_ON_FAILURE)",Safari 11,,,2019-12-06 11:28:52,2019-12-06 11:29:00,8.184s,PASSED
