Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
stm,Safari 11,,2020-01-05 08:08:03,2020-01-05 08:19:01,10m - 57.312s,PASSED
,,,,,,
Test Cases/AHI/stm/AdvantHealth,Safari 11,,2020-01-05 08:08:04,2020-01-05 08:10:02,1m - 58.328s,PASSED
"callTestCase(findTestCase(""AHI/_include/get_screenPath""), [""productLine"":""stm"", ""carrierName"":""AdvantHealth""], CONTINUE_ON_FAILURE)",Safari 11,,2020-01-05 08:08:04,2020-01-05 08:08:05,0.543s,PASSED
i = 0,Safari 11,,2020-01-05 08:08:05,2020-01-05 08:08:05,0.000s,PASSED
"callTestCase(findTestCase(""AHI/_include/openWebSite""), [:], CONTINUE_ON_FAILURE)",Safari 11,,2020-01-05 08:08:05,2020-01-05 08:08:17,12.059s,PASSED
"callTestCase(findTestCase(""AHI/_include/census_stm""), [""zipcode"":""35215""], STOP_ON_FAILURE)",Safari 11,,2020-01-05 08:08:17,2020-01-05 08:08:39,22.426s,PASSED
"callTestCase(findTestCase(""AHI/_include/filter_stm""), [""carrier"":""advanthealth""], STOP_ON_FAILURE)",Safari 11,,2020-01-05 08:08:39,2020-01-05 08:08:50,10.707s,PASSED
"callTestCase(findTestCase(""AHI/_include/goToDetail_stm""), [""carrier"":""advanthealth""], STOP_ON_FAILURE)",Safari 11,,2020-01-05 08:08:50,2020-01-05 08:08:56,5.841s,PASSED
"callTestCase(findTestCase(""AHI/_include/apply_stm""), [:], STOP_ON_FAILURE)",Safari 11,,2020-01-05 08:08:56,2020-01-05 08:09:04,8.105s,PASSED
"callTestCase(findTestCase(""AHI/_include/goToEnd_stm_autofill""), [:], STOP_ON_FAILURE)",Safari 11,,2020-01-05 08:09:04,2020-01-05 08:10:02,58.262s,PASSED
,,,,,,
Test Cases/AHI/stm/Aspen,Safari 11,,2020-01-05 08:10:02,2020-01-05 08:11:38,1m - 36.140s,PASSED
"callTestCase(findTestCase(""AHI/_include/get_screenPath""), [""productLine"":""stm"", ""carrierName"":""Aspen""], CONTINUE_ON_FAILURE)",Safari 11,,2020-01-05 08:10:03,2020-01-05 08:10:03,0.140s,PASSED
i = 0,Safari 11,,2020-01-05 08:10:03,2020-01-05 08:10:03,0.000s,PASSED
"callTestCase(findTestCase(""AHI/_include/openWebSite""), [:], STOP_ON_FAILURE)",Safari 11,,2020-01-05 08:10:03,2020-01-05 08:10:10,7.780s,PASSED
"callTestCase(findTestCase(""AHI/_include/census_stm""), [""zipcode"":""60602""], STOP_ON_FAILURE)",Safari 11,,2020-01-05 08:10:10,2020-01-05 08:10:27,16.875s,PASSED
"callTestCase(findTestCase(""AHI/_include/filter_stm""), [""carrier"":""aspen""], STOP_ON_FAILURE)",Safari 11,,2020-01-05 08:10:27,2020-01-05 08:10:34,6.604s,PASSED
"callTestCase(findTestCase(""AHI/_include/goToDetail_stm""), [""carrier"":""aspen""], STOP_ON_FAILURE)",Safari 11,,2020-01-05 08:10:34,2020-01-05 08:10:39,5.194s,PASSED
