Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
teladoc,Safari 11,,2019-12-12 08:26:42,2019-12-12 08:28:30,1m - 48.008s,PASSED
,,,,,,
Test Cases/AHI/Teladoc,Safari 11,teladoc application flow,2019-12-12 08:26:42,2019-12-12 08:28:29,1m - 46.576s,PASSED
"callTestCase(findTestCase(""AHI/_include/get_screenPath""), [""productLine"":""teladoc"", ""carrierName"":""Teladoc""], CONTINUE_ON_FAILURE)",Safari 11,,2019-12-12 08:26:44,2019-12-12 08:26:46,1.764s,PASSED
i = 0,Safari 11,,2019-12-12 08:26:46,2019-12-12 08:26:46,0.002s,PASSED
"callTestCase(findTestCase(""AHI/_include/openWebSite""), [:], STOP_ON_FAILURE)",Safari 11,open site,2019-12-12 08:26:46,2019-12-12 08:26:55,9.199s,PASSED
"click(findTestObject(""mobileSanity/Common/side_nav/menu""))",Safari 11,click menu,2019-12-12 08:26:55,2019-12-12 08:26:55,0.491s,PASSED
Thread.sleep(3000),Safari 11,wait time,2019-12-12 08:26:55,2019-12-12 08:26:58,3.062s,PASSED
"callTestCase(findTestCase(""AHI/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Safari 11,,2019-12-12 08:26:58,2019-12-12 08:26:59,0.596s,PASSED
"click(findTestObject(""mobileSanity/Common/side_nav/nav_teladoc""))",Safari 11,click nav teladoc,2019-12-12 08:26:59,2019-12-12 08:27:00,1.439s,PASSED
waitForPageLoad(20),Safari 11,,2019-12-12 08:27:00,2019-12-12 08:27:01,0.856s,PASSED
"waitForElementVisible(findTestObject(""mobileSanity/Teladoc/front_door_h1""), 20)",Safari 11,,2019-12-12 08:27:01,2019-12-12 08:27:02,1.183s,PASSED
"callTestCase(findTestCase(""AHI/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Safari 11,,2019-12-12 08:27:02,2019-12-12 08:27:03,0.520s,PASSED
"waitForElementVisible(findTestObject(""mobileSanity/Teladoc/census/input_Location_zip-input""), 20)",Safari 11,,2019-12-12 08:27:03,2019-12-12 08:27:03,0.075s,PASSED
"sendKeys(findTestObject(""mobileSanity/Teladoc/census/input_Location_zip-input""), ""35215"")",Safari 11,set zip code,2019-12-12 08:27:03,2019-12-12 08:27:03,0.241s,PASSED
Thread.sleep(500),Safari 11,set dob,2019-12-12 08:27:03,2019-12-12 08:27:04,0.503s,PASSED
"setText(findTestObject(""mobileSanity/Teladoc/census/input_Date of Birth_dob-0""), ""12121980"")",Safari 11,,2019-12-12 08:27:04,2019-12-12 08:27:04,0.258s,PASSED
"click(findTestObject(""mobileSanity/Teladoc/census/label_Male""))",Safari 11,,2019-12-12 08:27:04,2019-12-12 08:27:04,0.126s,PASSED
Thread.sleep(3000),Safari 11,,2019-12-12 08:27:04,2019-12-12 08:27:07,3.025s,PASSED
"click(findTestObject(""mobileSanity/Teladoc/census/get_a_quote""))",Safari 11,click button,2019-12-12 08:27:07,2019-12-12 08:27:08,0.763s,PASSED
waitForPageLoad(20),Safari 11,,2019-12-12 08:27:08,2019-12-12 08:27:08,0.152s,PASSED
"waitForElementVisible(findTestObject(""mobileSanity/Teladoc/apply_button""), 20)",Safari 11,,2019-12-12 08:27:08,2019-12-12 08:27:09,0.587s,PASSED
"callTestCase(findTestCase(""AHI/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Safari 11,,2019-12-12 08:27:09,2019-12-12 08:27:09,0.479s,PASSED
"click(findTestObject(""mobileSanity/Teladoc/apply_button""))",Safari 11,,2019-12-12 08:27:09,2019-12-12 08:27:10,0.564s,PASSED
waitForPageLoad(20),Safari 11,,2019-12-12 08:27:10,2019-12-12 08:27:10,0.380s,PASSED
"waitForElementPresent(findTestObject(""mobileSanity/Teladoc/Page_App Page 1/input__member-P-1-firstName""), 20)",Safari 11,,2019-12-12 08:27:10,2019-12-12 08:27:10,0.077s,PASSED
"callTestCase(findTestCase(""AHI/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Safari 11,,2019-12-12 08:27:10,2019-12-12 08:27:11,0.714s,PASSED
"callTestCase(findTestCase(""AHI/_include/name""), [:], STOP_ON_FAILURE)",Safari 11,get name,2019-12-12 08:27:11,2019-12-12 08:27:12,0.687s,PASSED
"setText(findTestObject(""mobileSanity/Teladoc/Page_App Page 1/input__member-P-1-firstName""), FirstName)",Safari 11,,2019-12-12 08:27:12,2019-12-12 08:27:12,0.359s,PASSED
"setText(findTestObject(""mobileSanity/Teladoc/Page_App Page 1/input__member-P-1-lastName""), LastName)",Safari 11,,2019-12-12 08:27:12,2019-12-12 08:27:12,0.208s,PASSED
"selectOptionByValue(findTestObject(""mobileSanity/Teladoc/Page_App Page 1/select_01020304050607""), ""05"", true)",Safari 11,,2019-12-12 08:27:12,2019-12-12 08:27:12,0.330s,PASSED
"selectOptionByValue(findTestObject(""mobileSanity/Teladoc/Page_App Page 1/select_00102030405060708091011""), ""06"", true)",Safari 11,,2019-12-12 08:27:12,2019-12-12 08:27:14,1.650s,PASSED
"setText(findTestObject(""mobileSanity/Teladoc/Page_App Page 1/input_lbs""), ""180"")",Safari 11,,2019-12-12 08:27:14,2019-12-12 08:27:15,0.409s,PASSED
"setText(findTestObject(""mobileSanity/Teladoc/Page_App Page 1/input__address""), Address)",Safari 11,,2019-12-12 08:27:15,2019-12-12 08:27:15,0.740s,PASSED
"setText(findTestObject(""mobileSanity/Teladoc/Page_App Page 1/input__city""), City)",Safari 11,,2019-12-12 08:27:15,2019-12-12 08:27:16,0.760s,PASSED
"setText(findTestObject(""mobileSanity/Teladoc/Page_App Page 1/input__email""), AutoEmail)",Safari 11,,2019-12-12 08:27:16,2019-12-12 08:27:16,0.298s,PASSED
"setText(findTestObject(""mobileSanity/Teladoc/Page_App Page 1/input_phone number""), Tel)",Safari 11,,2019-12-12 08:27:16,2019-12-12 08:27:17,0.340s,PASSED
"click(findTestObject(""mobileSanity/Teladoc/Page_App Page 1/a_Continue to Step 2 - Payment""))",Safari 11,,2019-12-12 08:27:17,2019-12-12 08:27:18,0.925s,PASSED
waitForPageLoad(20),Safari 11,,2019-12-12 08:27:18,2019-12-12 08:27:18,0.142s,PASSED
"waitForElementVisible(findTestObject(""mobileSanity/Teladoc/Page_App Page 2/input__credit-card-first""), 20)",Safari 11,,2019-12-12 08:27:18,2019-12-12 08:27:18,0.247s,PASSED
"callTestCase(findTestCase(""AHI/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Safari 11,,2019-12-12 08:27:18,2019-12-12 08:27:19,0.715s,PASSED
"setText(findTestObject(""mobileSanity/Teladoc/Page_App Page 2/input__credit-card-first""), FirstName)",Safari 11,,2019-12-12 08:27:19,2019-12-12 08:27:19,0.214s,PASSED
"setText(findTestObject(""mobileSanity/Teladoc/Page_App Page 2/input__credit-card-last""), LastName)",Safari 11,,2019-12-12 08:27:19,2019-12-12 08:27:19,0.252s,PASSED
"selectOptionByValue(findTestObject(""mobileSanity/Teladoc/Page_App Page 2/select_MM010203040506070809101""), ""12"", true)",Safari 11,,2019-12-12 08:27:19,2019-12-12 08:27:20,0.376s,PASSED
"selectOptionByValue(findTestObject(""mobileSanity/Teladoc/Page_App Page 2/select_YYYY2019202020212022202""), ""2026"", true)",Safari 11,,2019-12-12 08:27:20,2019-12-12 08:27:20,0.295s,PASSED
