Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
AseguMed,Safari 11,,2019-12-04 05:05:05,2019-12-04 05:06:12,1m - 6.521s,PASSED
,,,,,,
Test Cases/AseguMed/Legion,Safari 11,,2019-12-04 05:05:06,2019-12-04 05:06:11,1m - 5.264s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/get_screenPath""), [""productLine"":""AseguMed"", ""carrierName"":""Legion""], STOP_ON_FAILURE)",Safari 11,,2019-12-04 05:05:06,2019-12-04 05:05:07,0.442s,PASSED
i = 0,Safari 11,,2019-12-04 05:05:07,2019-12-04 05:05:07,0.000s,PASSED
"openBrowser(""https://pruebas.asegumed.com/"")",Safari 11,,2019-12-04 05:05:07,2019-12-04 05:05:11,4.150s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Safari 11,,2019-12-04 05:05:11,2019-12-04 05:05:12,0.899s,PASSED
"click(findTestObject(""AseguMed/homepage/cta-button""))",Safari 11,,2019-12-04 05:05:12,2019-12-04 05:05:13,1.157s,PASSED
waitForPageLoad(10),Safari 11,,2019-12-04 05:05:13,2019-12-04 05:05:13,0.649s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Safari 11,,2019-12-04 05:05:13,2019-12-04 05:05:14,0.556s,PASSED
"sendKeys(findTestObject(""AseguMed/census_page/input_zip""), ""35215"")",Safari 11,,2019-12-04 05:05:14,2019-12-04 05:05:14,0.301s,PASSED
"sendKeys(findTestObject(""AseguMed/census_page/input_dob""), ""12121988"")",Safari 11,,2019-12-04 05:05:14,2019-12-04 05:05:14,0.101s,PASSED
"click(findTestObject(""AseguMed/census_page/label_gender_male""))",Safari 11,,2019-12-04 05:05:14,2019-12-04 05:05:15,0.103s,PASSED
"click(findTestObject(""AseguMed/census_page/census_submit_button""))",Safari 11,,2019-12-04 05:05:15,2019-12-04 05:05:16,1.835s,PASSED
waitForPageLoad(10),Safari 11,,2019-12-04 05:05:16,2019-12-04 05:05:16,0.080s,PASSED
Thread.sleep(2000),Safari 11,,2019-12-04 05:05:16,2019-12-04 05:05:18,2.009s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Safari 11,,2019-12-04 05:05:18,2019-12-04 05:05:19,0.613s,PASSED
"click(findTestObject(""AseguMed/quote_page/detail_link_plan_2""))",Safari 11,,2019-12-04 05:05:19,2019-12-04 05:05:20,0.700s,PASSED
waitForPageLoad(10),Safari 11,,2019-12-04 05:05:20,2019-12-04 05:05:20,0.047s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Safari 11,,2019-12-04 05:05:20,2019-12-04 05:05:20,0.519s,PASSED
"click(findTestObject(""AseguMed/detail_page/detail_apply_button""))",Safari 11,,2019-12-04 05:05:20,2019-12-04 05:05:21,0.758s,PASSED
waitForPageLoad(10),Safari 11,,2019-12-04 05:05:21,2019-12-04 05:05:21,0.036s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Safari 11,,2019-12-04 05:05:21,2019-12-04 05:05:22,0.467s,PASSED
"click(findTestObject(""AseguMed/apply_page/apply_button""))",Safari 11,,2019-12-04 05:05:22,2019-12-04 05:05:22,0.833s,PASSED
waitForPageLoad(10),Safari 11,,2019-12-04 05:05:22,2019-12-04 05:05:22,0.086s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Safari 11,,2019-12-04 05:05:22,2019-12-04 05:05:23,0.760s,PASSED
"callTestCase(findTestCase(""AseguMed/_include/name""), [:], STOP_ON_FAILURE)",Safari 11,,2019-12-04 05:05:23,2019-12-04 05:05:24,1.193s,PASSED
"setText(findTestObject(""AseguMed/app page 1/input_firstname""), FirstName)",Safari 11,,2019-12-04 05:05:24,2019-12-04 05:05:25,0.337s,PASSED
"setText(findTestObject(""AseguMed/app page 1/input_lastname""), LastName)",Safari 11,,2019-12-04 05:05:25,2019-12-04 05:05:25,0.240s,PASSED
"setText(findTestObject(""AseguMed/app page 1/input_address""), Address)",Safari 11,,2019-12-04 05:05:25,2019-12-04 05:05:25,0.186s,PASSED
"setText(findTestObject(""AseguMed/app page 1/input_city""), City)",Safari 11,,2019-12-04 05:05:25,2019-12-04 05:05:25,0.184s,PASSED
"setText(findTestObject(""AseguMed/app page 1/input_email""), AutoEmail)",Safari 11,,2019-12-04 05:05:25,2019-12-04 05:05:26,0.320s,PASSED
"setText(findTestObject(""AseguMed/app page 1/input_primaryPhone""), Tel)",Safari 11,,2019-12-04 05:05:26,2019-12-04 05:05:26,0.745s,PASSED
"click(findTestObject(""AseguMed/app page 1/continue_to_page_2_button""))",Safari 11,,2019-12-04 05:05:26,2019-12-04 05:05:27,0.256s,PASSED
waitForPageLoad(10),Safari 11,,2019-12-04 05:05:27,2019-12-04 05:05:27,0.022s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Safari 11,,2019-12-04 05:05:27,2019-12-04 05:05:27,0.578s,PASSED
"setText(findTestObject(""AseguMed/app page 2/input_credit-card-number""), ""4111111111111111"")",Safari 11,,2019-12-04 05:05:27,2019-12-04 05:05:28,0.398s,PASSED
"setText(findTestObject(""AseguMed/app page 2/input_credit-card-first""), FirstName)",Safari 11,,2019-12-04 05:05:28,2019-12-04 05:05:28,0.176s,PASSED
"setText(findTestObject(""AseguMed/app page 2/input_credit-card-last""), LastName)",Safari 11,,2019-12-04 05:05:28,2019-12-04 05:05:28,0.207s,PASSED
"selectOptionByValue(findTestObject(""AseguMed/app page 2/select_expiration-month""), ""12"", true)",Safari 11,,2019-12-04 05:05:28,2019-12-04 05:05:28,0.361s,PASSED
"selectOptionByValue(findTestObject(""AseguMed/app page 2/select_expiration-year""), ""2026"", true)",Safari 11,,2019-12-04 05:05:28,2019-12-04 05:05:29,0.277s,PASSED
"setText(findTestObject(""AseguMed/app page 2/input_credit-card-cvv""), ""123"")",Safari 11,,2019-12-04 05:05:29,2019-12-04 05:05:29,0.117s,PASSED
"click(findTestObject(""AseguMed/app page 2/input_js-same-billing""))",Safari 11,,2019-12-04 05:05:29,2019-12-04 05:05:29,0.158s,PASSED
"click(findTestObject(""AseguMed/app page 2/input_credit-payment-authorization""))",Safari 11,,2019-12-04 05:05:29,2019-12-04 05:05:29,0.089s,PASSED
"click(findTestObject(""AseguMed/app page 2/continue_to_page_3_button""))",Safari 11,,2019-12-04 05:05:29,2019-12-04 05:05:29,0.115s,PASSED
waitForPageLoad(10),Safari 11,,2019-12-04 05:05:29,2019-12-04 05:05:29,0.009s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Safari 11,,2019-12-04 05:05:29,2019-12-04 05:05:30,1.122s,PASSED
"click(findTestObject(""AseguMed/app page 3/input_consent-checkbox-0""))",Safari 11,,2019-12-04 05:05:30,2019-12-04 05:05:40,9.876s,PASSED
"click(findTestObject(""AseguMed/app page 3/link_js-signature-autoFill""))",Safari 11,,2019-12-04 05:05:40,2019-12-04 05:05:40,0.090s,PASSED
"click(findTestObject(""AseguMed/app page 3/continue_to_page_4_button""))",Safari 11,,2019-12-04 05:05:40,2019-12-04 05:05:40,0.112s,PASSED
waitForPageLoad(10),Safari 11,,2019-12-04 05:05:40,2019-12-04 05:05:40,0.026s,PASSED
