Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
asegumed,Safari 11,,2020-03-26 08:00:38,2020-03-26 08:03:42,3m - 4.544s,PASSED
,,,,,,
Test Cases/AseguMed/Legion,Safari 11,,2020-03-26 08:00:40,2020-03-26 08:03:41,3m - 1.237s,PASSED
"callTestCase(findTestCase(""AHI/_include/get_screenPath""), [""productLine"":""AseguMed"", ""carrierName"":""Legion""], STOP_ON_FAILURE)",Safari 11,,2020-03-26 08:00:42,2020-03-26 08:00:45,3.079s,PASSED
i = 0,Safari 11,,2020-03-26 08:00:45,2020-03-26 08:00:45,0.004s,PASSED
"openBrowser(""https://pruebas.asegumed.com/"")",Safari 11,,2020-03-26 08:00:46,2020-03-26 08:01:00,14.802s,PASSED
"callTestCase(findTestCase(""AHI/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Safari 11,,2020-03-26 08:01:00,2020-03-26 08:01:05,5.152s,PASSED
"click(findTestObject(""AseguMed/homepage/cta-button""))",Safari 11,,2020-03-26 08:01:05,2020-03-26 08:01:07,1.868s,PASSED
"waitForElementPresent(findTestObject(""AseguMed/census_page/input_zip""), 20)",Safari 11,,2020-03-26 08:01:07,2020-03-26 08:01:08,0.261s,PASSED
"callTestCase(findTestCase(""AHI/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Safari 11,,2020-03-26 08:01:08,2020-03-26 08:01:12,4.113s,PASSED
"sendKeys(findTestObject(""AseguMed/census_page/input_zip""), ""35215"")",Safari 11,,2020-03-26 08:01:12,2020-03-26 08:01:16,4.247s,PASSED
"sendKeys(findTestObject(""AseguMed/census_page/input_dob""), ""12121988"")",Safari 11,,2020-03-26 08:01:16,2020-03-26 08:01:17,0.533s,PASSED
"click(findTestObject(""AseguMed/census_page/label_gender_male""))",Safari 11,,2020-03-26 08:01:17,2020-03-26 08:01:17,0.307s,PASSED
"click(findTestObject(""AseguMed/census_page/census_submit_button""))",Safari 11,,2020-03-26 08:01:17,2020-03-26 08:01:19,2.616s,PASSED
"waitForElementPresent(findTestObject(""AseguMed/quote_page/detail_link_plan_2""), 20)",Safari 11,,2020-03-26 08:01:19,2020-03-26 08:01:20,0.441s,PASSED
"callTestCase(findTestCase(""AHI/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Safari 11,,2020-03-26 08:01:20,2020-03-26 08:01:26,5.763s,PASSED
"click(findTestObject(""AseguMed/quote_page/detail_link_plan_2""))",Safari 11,,2020-03-26 08:01:26,2020-03-26 08:01:27,1.699s,PASSED
waitForPageLoad(10),Safari 11,,2020-03-26 08:01:27,2020-03-26 08:01:28,0.333s,PASSED
"callTestCase(findTestCase(""AHI/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Safari 11,,2020-03-26 08:01:28,2020-03-26 08:01:29,1.753s,PASSED
"click(findTestObject(""AseguMed/detail_page/detail_apply_button""))",Safari 11,,2020-03-26 08:01:29,2020-03-26 08:01:30,0.926s,PASSED
waitForPageLoad(10),Safari 11,,2020-03-26 08:01:30,2020-03-26 08:01:30,0.021s,PASSED
"callTestCase(findTestCase(""AHI/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Safari 11,,2020-03-26 08:01:30,2020-03-26 08:01:33,2.345s,PASSED
"click(findTestObject(""AseguMed/apply_page/apply_button""))",Safari 11,,2020-03-26 08:01:33,2020-03-26 08:01:38,5.736s,PASSED
"waitForElementPresent(findTestObject(""AseguMed/app page 1/input_firstname""), 20)",Safari 11,,2020-03-26 08:01:38,2020-03-26 08:01:41,2.143s,PASSED
"callTestCase(findTestCase(""AHI/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Safari 11,,2020-03-26 08:01:41,2020-03-26 08:01:44,2.963s,PASSED
"callTestCase(findTestCase(""AseguMed/_include/name""), [:], STOP_ON_FAILURE)",Safari 11,,2020-03-26 08:01:44,2020-03-26 08:01:47,3.357s,PASSED
"setText(findTestObject(""AseguMed/app page 1/input_firstname""), FirstName)",Safari 11,,2020-03-26 08:01:47,2020-03-26 08:01:50,2.685s,PASSED
"setText(findTestObject(""AseguMed/app page 1/input_lastname""), LastName)",Safari 11,,2020-03-26 08:01:50,2020-03-26 08:02:00,10.718s,PASSED
"setText(findTestObject(""AseguMed/app page 1/input_address""), Address)",Safari 11,,2020-03-26 08:02:00,2020-03-26 08:02:04,3.566s,PASSED
"setText(findTestObject(""AseguMed/app page 1/input_city""), City)",Safari 11,,2020-03-26 08:02:04,2020-03-26 08:02:06,1.999s,PASSED
"setText(findTestObject(""AseguMed/app page 1/input_email""), AutoEmail)",Safari 11,,2020-03-26 08:02:06,2020-03-26 08:02:07,0.994s,PASSED
"setText(findTestObject(""AseguMed/app page 1/input_primaryPhone""), Tel)",Safari 11,,2020-03-26 08:02:07,2020-03-26 08:02:07,0.288s,PASSED
"click(findTestObject(""AseguMed/app page 1/continue_to_page_2_button""))",Safari 11,,2020-03-26 08:02:07,2020-03-26 08:02:07,0.283s,PASSED
"waitForElementPresent(findTestObject(""AseguMed/app page 2/input_credit-card-number""), 20)",Safari 11,,2020-03-26 08:02:07,2020-03-26 08:02:08,0.634s,PASSED
"callTestCase(findTestCase(""AHI/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Safari 11,,2020-03-26 08:02:08,2020-03-26 08:02:10,1.700s,PASSED
"setText(findTestObject(""AseguMed/app page 2/input_credit-card-number""), ""4111111111111111"")",Safari 11,,2020-03-26 08:02:10,2020-03-26 08:02:10,0.648s,PASSED
"setText(findTestObject(""AseguMed/app page 2/input_credit-card-first""), FirstName)",Safari 11,,2020-03-26 08:02:10,2020-03-26 08:02:11,0.420s,PASSED
"setText(findTestObject(""AseguMed/app page 2/input_credit-card-last""), LastName)",Safari 11,,2020-03-26 08:02:11,2020-03-26 08:02:12,1.129s,PASSED
"selectOptionByValue(findTestObject(""AseguMed/app page 2/select_expiration-month""), ""12"", true)",Safari 11,,2020-03-26 08:02:12,2020-03-26 08:02:16,3.984s,PASSED
"selectOptionByValue(findTestObject(""AseguMed/app page 2/select_expiration-year""), ""2026"", true)",Safari 11,,2020-03-26 08:02:16,2020-03-26 08:02:18,1.949s,PASSED
"setText(findTestObject(""AseguMed/app page 2/input_credit-card-cvv""), ""123"")",Safari 11,,2020-03-26 08:02:18,2020-03-26 08:02:18,0.264s,PASSED
"click(findTestObject(""AseguMed/app page 2/input_js-same-billing""))",Safari 11,,2020-03-26 08:02:18,2020-03-26 08:02:18,0.154s,PASSED
"click(findTestObject(""AseguMed/app page 2/input_credit-payment-authorization""))",Safari 11,,2020-03-26 08:02:18,2020-03-26 08:02:19,0.158s,PASSED
"click(findTestObject(""AseguMed/app page 2/continue_to_page_3_button""))",Safari 11,,2020-03-26 08:02:19,2020-03-26 08:02:19,0.217s,PASSED
"waitForElementPresent(findTestObject(""AseguMed/app page 3/input_consent-checkbox-0""), 20)",Safari 11,,2020-03-26 08:02:19,2020-03-26 08:02:30,11.426s,PASSED
"callTestCase(findTestCase(""AHI/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Safari 11,,2020-03-26 08:02:30,2020-03-26 08:02:32,1.807s,PASSED
"click(findTestObject(""AseguMed/app page 3/input_consent-checkbox-0""))",Safari 11,,2020-03-26 08:02:32,2020-03-26 08:02:33,0.610s,PASSED
"click(findTestObject(""AseguMed/app page 3/link_js-signature-autoFill""))",Safari 11,,2020-03-26 08:02:33,2020-03-26 08:02:33,0.268s,PASSED
"click(findTestObject(""AseguMed/app page 3/continue_to_page_4_button""))",Safari 11,,2020-03-26 08:02:33,2020-03-26 08:02:34,0.861s,PASSED
"waitForElementPresent(findTestObject(""mobileSanity/Common/app-confirmation""), 50)",Safari 11,,2020-03-26 08:02:34,2020-03-26 08:03:39,1m - 5.503s,PASSED
"callTestCase(findTestCase(""AHI/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Safari 11,,2020-03-26 08:03:39,2020-03-26 08:03:41,1.584s,PASSED
