Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
hic,Safari 11,,,2019-12-06 16:34:57,2019-12-06 17:12:05,37m - 7.453s,INCOMPLETE
,,,,,,,
Test Cases/HIC/ACA,Safari 11,,,2019-12-06 16:34:58,2019-12-06 16:35:47,48.965s,PASSED
"callTestCase(findTestCase(""HIC/_include/get_hicScreenPath""), [""project"":""HIC"", ""productLine"":""ACA"", ""carrierName"":""ACA""], CONTINUE_ON_FAILURE)",Safari 11,,,2019-12-06 16:34:59,2019-12-06 16:35:01,2.364s,PASSED
i = 0,Safari 11,,,2019-12-06 16:35:01,2019-12-06 16:35:01,0.005s,PASSED
"callTestCase(findTestCase(""AHI/_include/openWebSite""), [""env"":""https://qa.healthinsurance.com/""], CONTINUE_ON_FAILURE)",Safari 11,,,2019-12-06 16:35:01,2019-12-06 16:35:25,23.468s,PASSED
"click(findTestObject(""hic/nav/navButton""))",Safari 11,,,2019-12-06 16:35:25,2019-12-06 16:35:25,0.445s,PASSED
"click(findTestObject(""hic/nav/acaLink""))",Safari 11,,,2019-12-06 16:35:25,2019-12-06 16:35:25,0.295s,PASSED
Thread.sleep(2000),Safari 11,,,2019-12-06 16:35:25,2019-12-06 16:35:27,2.022s,PASSED
"callTestCase(findTestCase(""AHI/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Safari 11,,,2019-12-06 16:35:27,2019-12-06 16:35:28,0.821s,PASSED
"setText(findTestObject(""hic/aca/zip""), ""33186"")",Safari 11,,,2019-12-06 16:35:28,2019-12-06 16:35:28,0.323s,PASSED
Thread.sleep(5000),Safari 11,,,2019-12-06 16:35:28,2019-12-06 16:35:33,5.001s,PASSED
"click(findTestObject(""hic/aca/comparePlan""))",Safari 11,,,2019-12-06 16:35:33,2019-12-06 16:35:41,7.759s,PASSED
Thread.sleep(5000),Safari 11,,,2019-12-06 16:35:41,2019-12-06 16:35:46,5.001s,PASSED
"callTestCase(findTestCase(""AHI/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Safari 11,,,2019-12-06 16:35:46,2019-12-06 16:35:47,0.794s,PASSED
,,,,,,,
Test Cases/HIC/Dental/National General,Safari 11,,,2019-12-06 16:35:47,2019-12-06 16:38:41,2m - 53.519s,PASSED
"callTestCase(findTestCase(""HIC/_include/get_hicScreenPath""), [""project"":""HIC"", ""productLine"":""Dental"", ""carrierName"":""National General""], CONTINUE_ON_FAILURE)",Safari 11,,,2019-12-06 16:35:47,2019-12-06 16:35:48,0.143s,PASSED
i = 0,Safari 11,,,2019-12-06 16:35:48,2019-12-06 16:35:48,0.001s,PASSED
"callTestCase(findTestCase(""AHI/_include/openWebSite""), [""env"":""https://qa.healthinsurance.com/""], CONTINUE_ON_FAILURE)",Safari 11,,,2019-12-06 16:35:48,2019-12-06 16:35:58,10.514s,PASSED
"click(findTestObject(""hic/nav/navButton""))",Safari 11,,,2019-12-06 16:35:58,2019-12-06 16:35:59,0.659s,PASSED
Thread.sleep(2000),Safari 11,,,2019-12-06 16:35:59,2019-12-06 16:36:01,2.002s,PASSED
"click(findTestObject(""hic/nav/dentalLink""))",Safari 11,,,2019-12-06 16:36:01,2019-12-06 16:36:01,0.627s,PASSED
Thread.sleep(2000),Safari 11,,,2019-12-06 16:36:01,2019-12-06 16:36:03,2.001s,PASSED
"callTestCase(findTestCase(""AHI/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Safari 11,,,2019-12-06 16:36:03,2019-12-06 16:36:04,0.737s,PASSED
"callTestCase(findTestCase(""HIC/_include/stm_census""), [""zipcode"":""35215""], STOP_ON_FAILURE)",Safari 11,,,2019-12-06 16:36:04,2019-12-06 16:36:24,20.388s,PASSED
"click(findTestObject(""mobileSanity/Dental/filter/btn_filter""))",Safari 11,,,2019-12-06 16:36:24,2019-12-06 16:36:25,0.915s,PASSED
"waitForElementVisible(findTestObject(""mobileSanity/Dental/filter/btn_company""), 10)",Safari 11,,,2019-12-06 16:36:25,2019-12-06 16:36:27,1.583s,PASSED
