Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
hic,Safari 11,,2020-04-16 08:00:51,2020-04-16 08:13:56,13m - 5.184s,ERROR
,,,,,,
Test Cases/HIC/New/ACA,Safari 11,,2020-04-16 08:00:52,2020-04-16 08:01:39,46.811s,PASSED
"callTestCase(findTestCase(""HIC/_include/get_hicScreenPath""), [""project"":""HIC"", ""productLine"":""ACA"", ""carrierName"":""ACA""], CONTINUE_ON_FAILURE)",Safari 11,,2020-04-16 08:00:55,2020-04-16 08:00:58,2.866s,PASSED
i = 0,Safari 11,,2020-04-16 08:00:58,2020-04-16 08:00:58,0.001s,PASSED
"callTestCase(findTestCase(""AHI/_include/openWebSite""), [""env"":env], CONTINUE_ON_FAILURE)",Safari 11,,2020-04-16 08:00:58,2020-04-16 08:01:24,26.272s,PASSED
driver = getWebDriver(),Safari 11,,2020-04-16 08:01:24,2020-04-16 08:01:24,0.012s,PASSED
baseUrl = env,Safari 11,,2020-04-16 08:01:24,2020-04-16 08:01:24,0.001s,PASSED
"selenium = new com.thoughtworks.selenium.webdriven.WebDriverBackedSelenium(driver, baseUrl)",Safari 11,,2020-04-16 08:01:24,2020-04-16 08:01:25,0.584s,PASSED
"selenium.click(""//span[@class='navbar-toggler-icon']"")",Safari 11,,2020-04-16 08:01:25,2020-04-16 08:01:25,0.350s,PASSED
"selenium.click(""//a[@class='dropdown-toggle nav-link']"")",Safari 11,,2020-04-16 08:01:25,2020-04-16 08:01:25,0.167s,PASSED
"selenium.click(""//a[contains(text(),'ACA Health Insurance')]"")",Safari 11,,2020-04-16 08:01:25,2020-04-16 08:01:26,0.937s,PASSED
"for ([second = 0, second < 10, (second++)])",Safari 11,,2020-04-16 08:01:26,2020-04-16 08:01:26,0.066s,PASSED
"callTestCase(findTestCase(""AHI/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Safari 11,,2020-04-16 08:01:26,2020-04-16 08:01:28,1.712s,PASSED
"setText(findTestObject(""hic/medicare/zip""), ""33186"")",Safari 11,,2020-04-16 08:01:28,2020-04-16 08:01:28,0.592s,PASSED
