Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
HP,Safari 11,,2019-12-06 01:38:46,2019-12-06 01:41:05,2m - 18.743s,PASSED
,,,,,,
Test Cases/HP/ACA/ACA,Safari 11,,2019-12-06 01:38:47,2019-12-06 01:40:35,1m - 48.447s,PASSED
now = new java.util.Date(),Safari 11,,2019-12-06 01:38:49,2019-12-06 01:38:49,0.007s,PASSED
"mydate = now.format(""yyyyMMdd_HHmmss"")",Safari 11,,2019-12-06 01:38:49,2019-12-06 01:38:49,0.003s,PASSED
i = 0,Safari 11,,2019-12-06 01:38:49,2019-12-06 01:38:49,0.013s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/get_screenPath""), [""productLine"":""HP"", ""carrierName"":""ACA""], CONTINUE_ON_FAILURE)",Safari 11,,2019-12-06 01:38:49,2019-12-06 01:38:49,0.515s,PASSED
second = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Safari 11,,2019-12-06 01:38:49,2019-12-06 01:38:49,0.001s,PASSED
"openBrowser(""www.healthpocket.com/individual-health-insurance"")",Safari 11,,2019-12-06 01:38:49,2019-12-06 01:39:08,19.085s,PASSED
driver = getWebDriver(),Safari 11,,2019-12-06 01:39:08,2019-12-06 01:39:08,0.029s,PASSED
"baseUrl = ""https://www.healthpocket.com/individual-health-insurance/""",Safari 11,,2019-12-06 01:39:08,2019-12-06 01:39:08,0.001s,PASSED
"selenium = new com.thoughtworks.selenium.webdriven.WebDriverBackedSelenium(driver, baseUrl)",Safari 11,,2019-12-06 01:39:08,2019-12-06 01:39:09,0.301s,PASSED
selenium.refresh(),Safari 11,,2019-12-06 01:39:09,2019-12-06 01:39:10,1.852s,PASSED
"selenium.waitForPageToLoad(""30000"")",Safari 11,,2019-12-06 01:39:10,2019-12-06 01:39:11,0.519s,PASSED
"for ([second = 0, second < 60, (second++)])",Safari 11,,2019-12-06 01:39:11,2019-12-06 01:40:25,1m - 14.198s,PASSED
"for ([second = 0, second < 60, (second++)])",Safari 11,,2019-12-06 01:40:25,2019-12-06 01:40:25,0.053s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Safari 11,,2019-12-06 01:40:25,2019-12-06 01:40:26,1.078s,PASSED
"selenium.type(""id=location"", ""32209"")",Safari 11,,2019-12-06 01:40:26,2019-12-06 01:40:27,0.284s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Safari 11,,2019-12-06 01:40:27,2019-12-06 01:40:27,0.871s,PASSED
"selenium.click(""id=findPlans"")",Safari 11,,2019-12-06 01:40:27,2019-12-06 01:40:28,0.525s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Safari 11,,2019-12-06 01:40:28,2019-12-06 01:40:30,2.302s,PASSED
"for ([second = 0, second < 60, (second++)])",Safari 11,,2019-12-06 01:40:30,2019-12-06 01:40:30,0.070s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Safari 11,,2019-12-06 01:40:30,2019-12-06 01:40:31,0.538s,PASSED
"selenium.click(""//a[contains(text(),'Select')]"")",Safari 11,,2019-12-06 01:40:31,2019-12-06 01:40:31,0.083s,PASSED
"for ([second = 0, second < 60, (second++)])",Safari 11,,2019-12-06 01:40:31,2019-12-06 01:40:32,1.272s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Safari 11,,2019-12-06 01:40:32,2019-12-06 01:40:33,0.474s,PASSED
"selenium.click(""xpath=(//a[contains(text(),'Apply Now')])"")",Safari 11,,2019-12-06 01:40:33,2019-12-06 01:40:34,1.272s,PASSED
"for ([second = 0, second < 60, (second++)])",Safari 11,,2019-12-06 01:40:34,2019-12-06 01:40:34,0.015s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Safari 11,,2019-12-06 01:40:34,2019-12-06 01:40:34,0.435s,PASSED
"selenium.click(""//a[contains(text(),'Select')]"")",Safari 11,,2019-12-06 01:40:34,2019-12-06 01:40:34,0.102s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Safari 11,,2019-12-06 01:40:34,2019-12-06 01:40:35,0.516s,PASSED
,,,,,,
Test Cases/HP/Home/Home,Safari 11,,2019-12-06 01:40:35,2019-12-06 01:40:40,5.462s,PASSED
now = new java.util.Date(),Safari 11,,2019-12-06 01:40:35,2019-12-06 01:40:35,0.000s,PASSED
"mydate = now.format(""yyyyMMdd_HHmmss"")",Safari 11,,2019-12-06 01:40:35,2019-12-06 01:40:35,0.000s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/get_screenPath""), [""productLine"":""HP"", ""carrierName"":""home""], CONTINUE_ON_FAILURE)",Safari 11,,2019-12-06 01:40:35,2019-12-06 01:40:35,0.085s,PASSED
i = 0,Safari 11,,2019-12-06 01:40:35,2019-12-06 01:40:35,0.000s,PASSED
"openBrowser(""https://www.healthpocket.com/"")",Safari 11,,2019-12-06 01:40:35,2019-12-06 01:40:39,3.681s,PASSED
