Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
HP,,,,2020-03-05 11:04:51,2020-03-05 11:04:56,5.008s,INCOMPLETE
,,,,,,,
Test Cases/HP/ACA/ACA,,,,2020-03-05 11:04:51,2020-03-05 11:04:53,1.593s,ERROR
now = new java.util.Date(),,,,2020-03-05 11:04:52,2020-03-05 11:04:52,0.010s,PASSED
"mydate = now.format(""yyyyMMdd_HHmmss"")",,,,2020-03-05 11:04:52,2020-03-05 11:04:52,0.005s,PASSED
i = 0,,,,2020-03-05 11:04:52,2020-03-05 11:04:53,0.676s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/get_screenPath""), [""productLine"":""HP"", ""carrierName"":""ACA""], CONTINUE_ON_FAILURE)",,,,2020-03-05 11:04:53,2020-03-05 11:04:53,0.010s,PASSED
,,,,,,,
Test Cases/HP/Home/Home,,,,2020-03-05 11:04:53,2020-03-05 11:04:53,0.639s,ERROR
now = new java.util.Date(),,,,2020-03-05 11:04:53,2020-03-05 11:04:53,0.003s,PASSED
"mydate = now.format(""yyyyMMdd_HHmmss"")",,,,2020-03-05 11:04:53,2020-03-05 11:04:53,0.002s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/get_screenPath""), [""productLine"":""HP"", ""carrierName"":""home""], CONTINUE_ON_FAILURE)",,,,2020-03-05 11:04:53,2020-03-05 11:04:53,0.002s,PASSED
,,,,,,,
Test Cases/HP/Medicare/Medicare,,,,2020-03-05 11:04:53,2020-03-05 11:04:54,0.404s,ERROR
now = new java.util.Date(),,,,2020-03-05 11:04:54,2020-03-05 11:04:54,0.003s,PASSED
"mydate = now.format(""yyyyMMdd_HHmmss"")",,,,2020-03-05 11:04:54,2020-03-05 11:04:54,0.003s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/get_screenPath""), [""productLine"":""HP"", ""carrierName"":""Medicare""], CONTINUE_ON_FAILURE)",,,,2020-03-05 11:04:54,2020-03-05 11:04:54,0.001s,PASSED
,,,,,,,
Test Cases/HP/Short Term/STM,,,,2020-03-05 11:04:54,2020-03-05 11:04:56,1.848s,ERROR
now = new java.util.Date(),,,,2020-03-05 11:04:54,2020-03-05 11:04:54,0.002s,PASSED
"mydate = now.format(""yyyyMMdd_HHmmss"")",,,,2020-03-05 11:04:54,2020-03-05 11:04:54,0.002s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/get_screenPath""), [""productLine"":""HP"", ""carrierName"":""STM""], CONTINUE_ON_FAILURE)",,,,2020-03-05 11:04:56,2020-03-05 11:04:56,0.002s,PASSED
