Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
HP,Safari 11,,,2020-03-05 11:14:53,2020-03-05 11:21:24,6m - 30.521s,INCOMPLETE
,,,,,,,
Test Cases/HP/ACA/ACA,Safari 11,,,2020-03-05 11:14:54,2020-03-05 11:17:31,2m - 37.615s,ERROR
now = new java.util.Date(),Safari 11,,,2020-03-05 11:14:55,2020-03-05 11:14:55,0.017s,PASSED
"mydate = now.format(""yyyyMMdd_HHmmss"")",Safari 11,,,2020-03-05 11:14:55,2020-03-05 11:14:55,0.007s,PASSED
i = 0,Safari 11,,,2020-03-05 11:14:55,2020-03-05 11:14:56,0.691s,PASSED
"callTestCase(findTestCase(""AHI/_include/get_screenPath""), [""productLine"":""HP"", ""carrierName"":""ACA""], CONTINUE_ON_FAILURE)",Safari 11,,,2020-03-05 11:14:56,2020-03-05 11:14:56,0.715s,PASSED
second = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Safari 11,,,2020-03-05 11:14:56,2020-03-05 11:14:56,0.002s,PASSED
"callTestCase(findTestCase(""AHI/_include/openWebSite""), [""env"":ENV], STOP_ON_FAILURE)",Safari 11,,,2020-03-05 11:14:56,2020-03-05 11:15:28,32.056s,PASSED
driver = getWebDriver(),Safari 11,,,2020-03-05 11:15:28,2020-03-05 11:15:28,0.012s,PASSED
"baseUrl = ""https://www.healthpocket.com/individual-health-insurance/""",Safari 11,,,2020-03-05 11:15:28,2020-03-05 11:15:28,0.004s,PASSED
"selenium = new com.thoughtworks.selenium.webdriven.WebDriverBackedSelenium(driver, baseUrl)",Safari 11,,,2020-03-05 11:15:28,2020-03-05 11:15:29,0.494s,PASSED
selenium.refresh(),Safari 11,,,2020-03-05 11:15:29,2020-03-05 11:15:32,3.453s,PASSED
"selenium.waitForPageToLoad(""30000"")",Safari 11,,,2020-03-05 11:15:32,2020-03-05 11:15:33,0.529s,PASSED
"for ([second = 0, second < 60, (second++)])",Safari 11,,,2020-03-05 11:15:33,2020-03-05 11:15:33,0.122s,PASSED
"for ([second = 0, second < 60, (second++)])",Safari 11,,,2020-03-05 11:15:33,2020-03-05 11:15:33,0.103s,PASSED
"callTestCase(findTestCase(""AHI/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Safari 11,,,2020-03-05 11:15:33,2020-03-05 11:15:34,1.335s,PASSED
"selenium.type(""id=location"", ""32209"")",Safari 11,,,2020-03-05 11:15:34,2020-03-05 11:15:35,0.239s,PASSED
"callTestCase(findTestCase(""AHI/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Safari 11,,,2020-03-05 11:15:35,2020-03-05 11:15:36,1.470s,PASSED
"selenium.click(""id=findPlans"")",Safari 11,,,2020-03-05 11:15:36,2020-03-05 11:15:36,0.286s,PASSED
"callTestCase(findTestCase(""AHI/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Safari 11,,,2020-03-05 11:15:36,2020-03-05 11:15:38,1.158s,PASSED
"for ([second = 0, second < 60, (second++)])",Safari 11,,,2020-03-05 11:15:38,2020-03-05 11:15:51,13.846s,PASSED
"callTestCase(findTestCase(""AHI/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Safari 11,,,2020-03-05 11:15:51,2020-03-05 11:15:52,0.987s,PASSED
"selenium.click(""//a[contains(text(),'Select')]"")",Safari 11,,,2020-03-05 11:15:52,2020-03-05 11:15:53,0.202s,PASSED
"for ([second = 0, second < 60, (second++)])",Safari 11,,,2020-03-05 11:15:53,2020-03-05 11:16:05,12.861s,PASSED
"callTestCase(findTestCase(""AHI/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Safari 11,,,2020-03-05 11:16:05,2020-03-05 11:16:06,0.892s,PASSED
"selenium.click(""xpath=(//a[contains(text(),'Apply Now')])"")",Safari 11,,,2020-03-05 11:16:06,2020-03-05 11:16:29,22.520s,PASSED
