Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
HP,Safari 11,,2020-03-10 05:28:01,2020-03-10 05:31:19,3m - 17.851s,PASSED
,,,,,,
Test Cases/HP/Health Plans/ACA,Safari 11,,2020-03-10 05:28:02,2020-03-10 05:28:53,50.439s,PASSED
now = new java.util.Date(),Safari 11,,2020-03-10 05:28:05,2020-03-10 05:28:06,0.493s,PASSED
"mydate = now.format(""yyyyMMdd_HHmmss"")",Safari 11,,2020-03-10 05:28:06,2020-03-10 05:28:06,0.004s,PASSED
i = 0,Safari 11,,2020-03-10 05:28:06,2020-03-10 05:28:07,0.777s,PASSED
"callTestCase(findTestCase(""AHI/_include/get_screenPath""), [""productLine"":""HP"", ""carrierName"":""ACA""], CONTINUE_ON_FAILURE)",Safari 11,,2020-03-10 05:28:07,2020-03-10 05:28:09,1.969s,PASSED
second = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Safari 11,,2020-03-10 05:28:09,2020-03-10 05:28:09,0.015s,PASSED
"openBrowser(env + ""/individual-health-insurance"")",Safari 11,,2020-03-10 05:28:09,2020-03-10 05:28:22,12.953s,PASSED
Thread.sleep(3000),Safari 11,,2020-03-10 05:28:22,2020-03-10 05:28:25,3.076s,PASSED
"callTestCase(findTestCase(""AHI/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Safari 11,,2020-03-10 05:28:25,2020-03-10 05:28:27,2.477s,PASSED
driver = getWebDriver(),Safari 11,,2020-03-10 05:28:27,2020-03-10 05:28:27,0.061s,PASSED
baseUrl = env,Safari 11,,2020-03-10 05:28:27,2020-03-10 05:28:27,0.001s,PASSED
"selenium = new com.thoughtworks.selenium.webdriven.WebDriverBackedSelenium(driver, baseUrl)",Safari 11,,2020-03-10 05:28:27,2020-03-10 05:28:27,0.181s,PASSED
"for ([second = 0, second < 10, (second++)])",Safari 11,,2020-03-10 05:28:27,2020-03-10 05:28:28,0.309s,PASSED
"for ([second = 0, second < 10, (second++)])",Safari 11,,2020-03-10 05:28:28,2020-03-10 05:28:28,0.113s,PASSED
"callTestCase(findTestCase(""AHI/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Safari 11,,2020-03-10 05:28:28,2020-03-10 05:28:30,1.746s,PASSED
"selenium.type(""id=location"", ""32209"")",Safari 11,,2020-03-10 05:28:30,2020-03-10 05:28:30,0.562s,PASSED
"selenium.click(""id=findPlans"")",Safari 11,,2020-03-10 05:28:30,2020-03-10 05:28:31,0.316s,PASSED
"for ([second = 0, second < 10, (second++)])",Safari 11,,2020-03-10 05:28:31,2020-03-10 05:28:35,4.153s,PASSED
"callTestCase(findTestCase(""AHI/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Safari 11,,2020-03-10 05:28:35,2020-03-10 05:28:37,1.925s,PASSED
Thread.sleep(3000),Safari 11,,2020-03-10 05:28:37,2020-03-10 05:28:40,3.003s,PASSED
"selenium.click(""//a[contains(text(),'Select')]"")",Safari 11,,2020-03-10 05:28:40,2020-03-10 05:28:41,1.182s,PASSED
"for ([second = 0, second < 10, (second++)])",Safari 11,,2020-03-10 05:28:41,2020-03-10 05:28:43,1.856s,PASSED
"callTestCase(findTestCase(""AHI/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Safari 11,,2020-03-10 05:28:43,2020-03-10 05:28:45,1.979s,PASSED
"selenium.click(""xpath=(//a[contains(text(),'Apply Now')])"")",Safari 11,,2020-03-10 05:28:45,2020-03-10 05:28:51,5.895s,PASSED
"for ([second = 0, second < 10, (second++)])",Safari 11,,2020-03-10 05:28:51,2020-03-10 05:28:51,0.094s,PASSED
"callTestCase(findTestCase(""AHI/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Safari 11,,2020-03-10 05:28:51,2020-03-10 05:28:53,2.015s,PASSED
,,,,,,
Test Cases/HP/Health Plans/Dental,Safari 11,,2020-03-10 05:28:53,2020-03-10 05:29:26,33.206s,PASSED
now = new java.util.Date(),Safari 11,,2020-03-10 05:28:53,2020-03-10 05:28:53,0.001s,PASSED
"mydate = now.format(""yyyyMMdd_HHmmss"")",Safari 11,,2020-03-10 05:28:53,2020-03-10 05:28:53,0.001s,PASSED
i = 0,Safari 11,,2020-03-10 05:28:53,2020-03-10 05:28:53,0.001s,PASSED
"callTestCase(findTestCase(""AHI/_include/get_screenPath""), [""productLine"":""HP"", ""carrierName"":""Dental""], CONTINUE_ON_FAILURE)",Safari 11,,2020-03-10 05:28:53,2020-03-10 05:28:53,0.140s,PASSED
second = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Safari 11,,2020-03-10 05:28:53,2020-03-10 05:28:53,0.004s,PASSED
"openBrowser(env + ""/dental-insurance"")",Safari 11,,2020-03-10 05:28:53,2020-03-10 05:28:59,5.556s,PASSED
Thread.sleep(3000),Safari 11,,2020-03-10 05:28:59,2020-03-10 05:29:02,3.002s,PASSED
