Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
life,Safari 11,,2020-04-14 08:03:41,2020-04-14 08:05:18,1m - 37.706s,PASSED
,,,,,,
Test Cases/Life/Freedom Lite,Safari 11,,2020-04-14 08:03:41,2020-04-14 08:05:16,1m - 34.959s,PASSED
"callTestCase(findTestCase(""AHI/_include/get_screenPath""), [""productLine"":""Life"", ""carrierName"":""Freedom Lite""], CONTINUE_ON_FAILURE)",Safari 11,,2020-04-14 08:03:44,2020-04-14 08:03:45,0.892s,PASSED
i = 0,Safari 11,,2020-04-14 08:03:45,2020-04-14 08:03:45,0.000s,PASSED
"callTestCase(findTestCase(""AHI/_include/openWebSite""), [""env"":""https://qa.agilelifeinsurance.com/""], STOP_ON_FAILURE)",Safari 11,,2020-04-14 08:03:45,2020-04-14 08:04:10,25.189s,PASSED
driver = getWebDriver(),Safari 11,,2020-04-14 08:04:10,2020-04-14 08:04:10,0.038s,PASSED
"baseUrl = ""https://qa.agilelifeinsurance.com/""",Safari 11,,2020-04-14 08:04:10,2020-04-14 08:04:10,0.001s,PASSED
"selenium = new com.thoughtworks.selenium.webdriven.WebDriverBackedSelenium(driver, baseUrl)",Safari 11,,2020-04-14 08:04:10,2020-04-14 08:04:10,0.106s,PASSED
"click(findTestObject(""Life/get_your_free_quote""))",Safari 11,,2020-04-14 08:04:10,2020-04-14 08:04:12,1.796s,PASSED
"for ([second = 0, second < 10, (second++)])",Safari 11,,2020-04-14 08:04:12,2020-04-14 08:04:12,0.271s,PASSED
"callTestCase(findTestCase(""AHI/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Safari 11,,2020-04-14 08:04:12,2020-04-14 08:04:14,1.600s,PASSED
"setText(findTestObject(""Life/zip_input""), ""35215"")",Safari 11,,2020-04-14 08:04:14,2020-04-14 08:04:14,0.220s,PASSED
"setText(findTestObject(""Life/dob_0""), ""01/01/1988"")",Safari 11,,2020-04-14 08:04:14,2020-04-14 08:04:14,0.240s,PASSED
"click(findTestObject(""Life/compare_plan""))",Safari 11,,2020-04-14 08:04:14,2020-04-14 08:04:16,1.294s,PASSED
Thread.sleep(5000),Safari 11,,2020-04-14 08:04:16,2020-04-14 08:04:21,5.124s,PASSED
"callTestCase(findTestCase(""AHI/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Safari 11,,2020-04-14 08:04:21,2020-04-14 08:04:23,1.716s,PASSED
"click(findTestObject(""Life/a_Elite_10K""))",Safari 11,,2020-04-14 08:04:23,2020-04-14 08:04:24,1.203s,PASSED
Thread.sleep(2000),Safari 11,,2020-04-14 08:04:24,2020-04-14 08:04:26,2.002s,PASSED
"callTestCase(findTestCase(""AHI/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Safari 11,,2020-04-14 08:04:26,2020-04-14 08:04:27,1.558s,PASSED
"click(findTestObject(""Life/apply_for_this_plan""))",Safari 11,,2020-04-14 08:04:27,2020-04-14 08:04:28,0.573s,PASSED
Thread.sleep(2000),Safari 11,,2020-04-14 08:04:28,2020-04-14 08:04:30,2.002s,PASSED
"callTestCase(findTestCase(""AHI/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Safari 11,,2020-04-14 08:04:30,2020-04-14 08:04:32,1.678s,PASSED
"click(findTestObject(""Life/applyButton""))",Safari 11,,2020-04-14 08:04:32,2020-04-14 08:04:33,1.859s,PASSED
Thread.sleep(2000),Safari 11,,2020-04-14 08:04:33,2020-04-14 08:04:35,2.008s,PASSED
"callTestCase(findTestCase(""AHI/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Safari 11,,2020-04-14 08:04:35,2020-04-14 08:04:38,2.238s,PASSED
"click(findTestObject(""Life/fillApp""))",Safari 11,,2020-04-14 08:04:38,2020-04-14 08:04:38,0.680s,PASSED
Thread.sleep(2000),Safari 11,,2020-04-14 08:04:38,2020-04-14 08:04:40,2.033s,PASSED
"click(findTestObject(""Life/js-app-continue-link""))",Safari 11,,2020-04-14 08:04:40,2020-04-14 08:04:41,0.693s,PASSED
Thread.sleep(2000),Safari 11,,2020-04-14 08:04:41,2020-04-14 08:04:43,2.004s,PASSED
"callTestCase(findTestCase(""AHI/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Safari 11,,2020-04-14 08:04:43,2020-04-14 08:04:45,1.635s,PASSED
"click(findTestObject(""Life/credit-payment-authorization""))",Safari 11,,2020-04-14 08:04:45,2020-04-14 08:04:45,0.211s,PASSED
"click(findTestObject(""Life/js-app-continue-link""))",Safari 11,,2020-04-14 08:04:45,2020-04-14 08:04:49,4.345s,PASSED
Thread.sleep(2000),Safari 11,,2020-04-14 08:04:49,2020-04-14 08:04:51,2.005s,PASSED
"callTestCase(findTestCase(""AHI/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Safari 11,,2020-04-14 08:04:51,2020-04-14 08:04:53,2.055s,PASSED
"click(findTestObject(""Life/consent-checkbox-0""))",Safari 11,,2020-04-14 08:04:53,2020-04-14 08:04:54,0.266s,PASSED
"click(findTestObject(""Life/js-signature-autoFill""))",Safari 11,,2020-04-14 08:04:54,2020-04-14 08:04:54,0.153s,PASSED
"click(findTestObject(""Life/js-app-continue-link""))",Safari 11,,2020-04-14 08:04:54,2020-04-14 08:04:54,0.229s,PASSED
Thread.sleep(20000),Safari 11,,2020-04-14 08:04:54,2020-04-14 08:05:14,20.002s,PASSED
"callTestCase(findTestCase(""AHI/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Safari 11,,2020-04-14 08:05:14,2020-04-14 08:05:16,2.473s,PASSED
