Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
medicare_staging,Chrome 83.0.4103.61,,2020-06-07 08:00:41,2020-06-07 08:25:31,24m - 50.325s,PASSED
,,,,,,
Test Cases/Web/Medicare/Staging vs Review/Staging/Compare plan,Chrome 83.0.4103.61,,2020-06-07 08:00:41,2020-06-07 08:02:31,1m - 49.834s,PASSED
"callTestCase(findTestCase(""Web/_include/get_screenPath""), [""project"":""Medicare"", ""module"":""Compare plan""], STOP_ON_FAILURE)",Chrome 83.0.4103.61,,2020-06-07 08:00:42,2020-06-07 08:00:42,0.549s,PASSED
i = 0,Chrome 83.0.4103.61,,2020-06-07 08:00:42,2020-06-07 08:00:42,0.001s,PASSED
"openBrowser(""https://staging.medicare.healthinsurance.com"")",Chrome 83.0.4103.61,,2020-06-07 08:00:42,2020-06-07 08:01:01,18.713s,PASSED
driver = getWebDriver(),Chrome 83.0.4103.61,,2020-06-07 08:01:01,2020-06-07 08:01:01,0.049s,PASSED
"baseUrl = ""https://staging.medicare.healthinsurance.com""",Chrome 83.0.4103.61,,2020-06-07 08:01:01,2020-06-07 08:01:01,0.001s,PASSED
"selenium = new com.thoughtworks.selenium.webdriven.WebDriverBackedSelenium(driver, baseUrl)",Chrome 83.0.4103.61,,2020-06-07 08:01:01,2020-06-07 08:01:04,3.215s,PASSED
"callTestCase(findTestCase(""AHI/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Chrome 83.0.4103.61,,2020-06-07 08:01:04,2020-06-07 08:01:09,5.152s,PASSED
"setText(findTestObject(""hic/medicare/census.location.zip""), ""35215"")",Chrome 83.0.4103.61,,2020-06-07 08:01:09,2020-06-07 08:01:22,12.315s,PASSED
"click(findTestObject(""hic/medicare/see medicare plans""))",Chrome 83.0.4103.61,,2020-06-07 08:01:22,2020-06-07 08:01:28,6.162s,PASSED
"waitForElementPresent(findTestObject(""hic/medicare/mapd""), 20)",Chrome 83.0.4103.61,,2020-06-07 08:01:28,2020-06-07 08:01:49,21.358s,PASSED
"callTestCase(findTestCase(""AHI/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Chrome 83.0.4103.61,,2020-06-07 08:01:49,2020-06-07 08:01:54,4.628s,PASSED
"MobileKeywords.clickJS(findTestObject(""medicare/quote/compare_checkbox_1""))",Chrome 83.0.4103.61,,2020-06-07 08:01:54,2020-06-07 08:02:01,6.823s,PASSED
"MobileKeywords.clickJS(findTestObject(""medicare/quote/compare_checkbox_2""))",Chrome 83.0.4103.61,,2020-06-07 08:02:01,2020-06-07 08:02:07,6.120s,PASSED
"MobileKeywords.clickJS(findTestObject(""medicare/quote/compare_checkbox_3""))",Chrome 83.0.4103.61,,2020-06-07 08:02:07,2020-06-07 08:02:13,6.175s,PASSED
Thread.sleep(2),Chrome 83.0.4103.61,,2020-06-07 08:02:13,2020-06-07 08:02:13,0.004s,PASSED
"callTestCase(findTestCase(""AHI/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Chrome 83.0.4103.61,,2020-06-07 08:02:13,2020-06-07 08:02:17,4.407s,PASSED
"selenium.click(""//button[text()='Compare']"")",Chrome 83.0.4103.61,,2020-06-07 08:02:17,2020-06-07 08:02:27,9.282s,PASSED
Thread.sleep(3),Chrome 83.0.4103.61,,2020-06-07 08:02:27,2020-06-07 08:02:27,0.011s,PASSED
"callTestCase(findTestCase(""AHI/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Chrome 83.0.4103.61,,2020-06-07 08:02:27,2020-06-07 08:02:31,4.427s,PASSED
,,,,,,
Test Cases/Web/Medicare/Staging vs Review/Staging/Filter and sort,Chrome 83.0.4103.61,,2020-06-07 08:02:31,2020-06-07 08:05:18,2m - 47.418s,PASSED
"callTestCase(findTestCase(""Web/_include/get_screenPath""), [""project"":""Medicare"", ""module"":""Filter and sort""], STOP_ON_FAILURE)",Chrome 83.0.4103.61,,2020-06-07 08:02:31,2020-06-07 08:02:31,0.092s,PASSED
i = 0,Chrome 83.0.4103.61,,2020-06-07 08:02:31,2020-06-07 08:02:31,0.001s,PASSED
"openBrowser(""https://staging.medicare.healthinsurance.com"")",Chrome 83.0.4103.61,,2020-06-07 08:02:31,2020-06-07 08:02:51,19.517s,PASSED
driver = getWebDriver(),Chrome 83.0.4103.61,,2020-06-07 08:02:51,2020-06-07 08:02:51,0.006s,PASSED
"baseUrl = ""https://staging.medicare.healthinsurance.com""",Chrome 83.0.4103.61,,2020-06-07 08:02:51,2020-06-07 08:02:51,0.001s,PASSED
"selenium = new com.thoughtworks.selenium.webdriven.WebDriverBackedSelenium(driver, baseUrl)",Chrome 83.0.4103.61,,2020-06-07 08:02:51,2020-06-07 08:02:54,3.029s,PASSED
"callTestCase(findTestCase(""AHI/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Chrome 83.0.4103.61,,2020-06-07 08:02:54,2020-06-07 08:02:59,4.750s,PASSED
"setText(findTestObject(""hic/medicare/census.location.zip""), ""32701"")",Chrome 83.0.4103.61,,2020-06-07 08:02:59,2020-06-07 08:03:11,12.301s,PASSED
"click(findTestObject(""hic/medicare/see medicare plans""))",Chrome 83.0.4103.61,,2020-06-07 08:03:11,2020-06-07 08:03:17,6.167s,PASSED
"waitForElementPresent(findTestObject(""medicare/quote/filter_button""), 20)",Chrome 83.0.4103.61,,2020-06-07 08:03:17,2020-06-07 08:03:24,6.611s,PASSED
"callTestCase(findTestCase(""AHI/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Chrome 83.0.4103.61,,2020-06-07 08:03:24,2020-06-07 08:03:28,4.382s,PASSED
"selenium.click(""//p[contains(text(),'Filter Plans')]"")",Chrome 83.0.4103.61,,2020-06-07 08:03:28,2020-06-07 08:03:37,9.358s,PASSED
Thread.sleep(2),Chrome 83.0.4103.61,,2020-06-07 08:03:37,2020-06-07 08:03:37,0.004s,PASSED
"callTestCase(findTestCase(""AHI/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Chrome 83.0.4103.61,,2020-06-07 08:03:37,2020-06-07 08:03:42,4.391s,PASSED
"selenium.click(""//label[contains(text(),'Cigna')]"")",Chrome 83.0.4103.61,,2020-06-07 08:03:42,2020-06-07 08:03:51,9.305s,PASSED
"selenium.click(""//label[contains(text(),'Under $20')]"")",Chrome 83.0.4103.61,,2020-06-07 08:03:51,2020-06-07 08:04:00,9.160s,PASSED
"selenium.click(""//label[contains(text(),'HMO')]"")",Chrome 83.0.4103.61,,2020-06-07 08:04:00,2020-06-07 08:04:09,9.156s,PASSED
"selenium.click(""//label[contains(text(),'$0')]"")",Chrome 83.0.4103.61,,2020-06-07 08:04:09,2020-06-07 08:04:19,9.167s,PASSED
"selenium.click(""//button[contains(text(),'Apply Filters')]"")",Chrome 83.0.4103.61,,2020-06-07 08:04:19,2020-06-07 08:04:28,9.443s,PASSED
Thread.sleep(1),Chrome 83.0.4103.61,,2020-06-07 08:04:28,2020-06-07 08:04:28,0.005s,PASSED
"callTestCase(findTestCase(""AHI/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Chrome 83.0.4103.61,,2020-06-07 08:04:28,2020-06-07 08:04:33,4.409s,PASSED
Thread.sleep(2),Chrome 83.0.4103.61,,2020-06-07 08:04:33,2020-06-07 08:04:33,0.003s,PASSED
"callTestCase(findTestCase(""AHI/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Chrome 83.0.4103.61,,2020-06-07 08:04:33,2020-06-07 08:04:37,4.579s,PASSED
"selenium.click(""//a[contains(text(),'Clear All Filters')]"")",Chrome 83.0.4103.61,,2020-06-07 08:04:37,2020-06-07 08:04:47,9.507s,PASSED
Thread.sleep(2),Chrome 83.0.4103.61,,2020-06-07 08:04:47,2020-06-07 08:04:47,0.003s,PASSED
"callTestCase(findTestCase(""AHI/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Chrome 83.0.4103.61,,2020-06-07 08:04:47,2020-06-07 08:04:51,4.393s,PASSED
"selenium.click(""//button[contains(text(),'Sort by Lowest Premium')]"")",Chrome 83.0.4103.61,,2020-06-07 08:04:51,2020-06-07 08:05:00,9.158s,PASSED
Thread.sleep(1),Chrome 83.0.4103.61,,2020-06-07 08:05:00,2020-06-07 08:05:00,0.003s,PASSED
