Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
ICA,Safari 11,,,2019-08-05 11:21:00,2019-08-05 11:24:53,3m - 53.189s,INCOMPLETE
,,,,,,,
Test Cases/PL Site/ICA/stm/AdvantHealth,Safari 11,,,2019-08-05 11:21:00,2019-08-05 11:22:49,1m - 48.344s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/get_screenPath""), [""productLine"":""ICA"", ""carrierName"":""AdvantHealth""], CONTINUE_ON_FAILURE)",Safari 11,,,2019-08-05 11:21:01,2019-08-05 11:21:02,1.402s,PASSED
i = 0,Safari 11,,,2019-08-05 11:21:02,2019-08-05 11:21:02,0.001s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/openWebSite""), [""env"":""https://ica--qa.storefront.mybenefitskeeper.com""], CONTINUE_ON_FAILURE)",Safari 11,,,2019-08-05 11:21:02,2019-08-05 11:21:12,9.731s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/census_stm""), [""zipcode"":""35215""], STOP_ON_FAILURE)",Safari 11,,,2019-08-05 11:21:12,2019-08-05 11:21:26,14.245s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/filter_stm""), [""carrier"":""advanthealth""], STOP_ON_FAILURE)",Safari 11,,,2019-08-05 11:21:26,2019-08-05 11:21:35,9.141s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/goToDetail_stm""), [""carrier"":""advanthealth""], STOP_ON_FAILURE)",Safari 11,,,2019-08-05 11:21:35,2019-08-05 11:21:44,8.799s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/apply_stm""), [:], STOP_ON_FAILURE)",Safari 11,,,2019-08-05 11:21:44,2019-08-05 11:21:53,8.380s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/goToEnd_stm_autofill""), [:], STOP_ON_FAILURE)",Safari 11,,,2019-08-05 11:21:53,2019-08-05 11:22:49,56.142s,PASSED
,,,,,,,
Test Cases/PL Site/ICA/stm/LifeShield,Safari 11,,,2019-08-05 11:22:49,2019-08-05 11:24:53,2m - 4.433s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/get_screenPath""), [""productLine"":""ICA"", ""carrierName"":""LifeShield""], CONTINUE_ON_FAILURE)",Safari 11,,,2019-08-05 11:22:49,2019-08-05 11:22:49,0.076s,PASSED
i = 0,Safari 11,,,2019-08-05 11:22:49,2019-08-05 11:22:49,0.001s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/openWebSite""), [""env"":""https://ica--qa.storefront.mybenefitskeeper.com""], CONTINUE_ON_FAILURE)",Safari 11,,,2019-08-05 11:22:49,2019-08-05 11:23:24,34.543s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/census_stm""), [""zipcode"":""35215""], STOP_ON_FAILURE)",Safari 11,,,2019-08-05 11:23:24,2019-08-05 11:23:37,13.105s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/filter_stm""), [""carrier"":""lifeshield""], STOP_ON_FAILURE)",Safari 11,,,2019-08-05 11:23:37,2019-08-05 11:23:45,8.486s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/goToDetail_stm""), [""carrier"":""lifeshield""], STOP_ON_FAILURE)",Safari 11,,,2019-08-05 11:23:45,2019-08-05 11:23:53,7.578s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/apply_stm""), [:], STOP_ON_FAILURE)",Safari 11,,,2019-08-05 11:23:53,2019-08-05 11:24:01,8.256s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/goToEnd_stm_autofill""), [:], STOP_ON_FAILURE)",Safari 11,,,2019-08-05 11:24:01,2019-08-05 11:24:53,52.147s,PASSED
