Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
LLBenefit,Safari 11,,2019-12-04 02:37:28,2019-12-04 02:38:41,1m - 12.937s,FAILED
,,,,,,
Test Cases/PL Site/LLBenefits/hbi/Vitala Care,Safari 11,,2019-12-04 02:37:29,2019-12-04 02:38:13,44.548s,FAILED
"callTestCase(findTestCase(""mobileWeb/_include/get_screenPath""), [""productLine"":""LLBenefits"", ""carrierName"":""Vitala Care""], CONTINUE_ON_FAILURE)",Safari 11,,2019-12-04 02:37:29,2019-12-04 02:37:30,0.444s,PASSED
i = 0,Safari 11,,2019-12-04 02:37:30,2019-12-04 02:37:30,0.000s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/openWebSite""), [""env"":""https://llbenefits--qa.storefront.mybenefitskeeper.com""], STOP_ON_FAILURE)",Safari 11,,2019-12-04 02:37:30,2019-12-04 02:37:34,4.298s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/census_hbi""), [""zipcode"":""33186""], CONTINUE_ON_FAILURE)",Safari 11,,2019-12-04 02:37:34,2019-12-04 02:37:47,13.586s,PASSED
Thread.sleep(5000),Safari 11,,2019-12-04 02:37:47,2019-12-04 02:37:52,5.001s,PASSED
"scrollToPosition(200, 2300)",Safari 11,,2019-12-04 02:37:52,2019-12-04 02:37:53,0.044s,PASSED
"click(findTestObject(""mobileSanity/HBI/quote/a_Vitala Care""))",Safari 11,,2019-12-04 02:37:53,2019-12-04 02:38:13,20.762s,FAILED
,,,,,,
Test Cases/PL Site/LLBenefits/stm/LifeShield,Safari 11,,2019-12-04 02:38:13,2019-12-04 02:38:41,27.276s,FAILED
"callTestCase(findTestCase(""mobileWeb/_include/get_screenPath""), [""productLine"":""LLBenefits"", ""carrierName"":""LifeShield""], CONTINUE_ON_FAILURE)",Safari 11,,2019-12-04 02:38:14,2019-12-04 02:38:14,0.117s,PASSED
i = 0,Safari 11,,2019-12-04 02:38:14,2019-12-04 02:38:14,0.000s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/openWebSite""), [""env"":""https://llbenefits--qa.storefront.mybenefitskeeper.com""], CONTINUE_ON_FAILURE)",Safari 11,,2019-12-04 02:38:14,2019-12-04 02:38:17,3.721s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/census_stm""), [""zipcode"":""33186""], STOP_ON_FAILURE)",Safari 11,,2019-12-04 02:38:17,2019-12-04 02:38:41,23.202s,FAILED
