Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Spark,Safari 11,,2019-12-02 05:09:59,2019-12-02 05:15:32,5m - 33.280s,ERROR
,,,,,,
Test Cases/PL Site/Spark/hbi/Health Choice,Safari 11,,2019-12-02 05:09:59,2019-12-02 05:11:15,1m - 15.750s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/get_screenPath""), [""productLine"":""Spark"", ""carrierName"":""Health Choice""], CONTINUE_ON_FAILURE)",Safari 11,,2019-12-02 05:09:59,2019-12-02 05:10:00,0.723s,PASSED
i = 0,Safari 11,,2019-12-02 05:10:00,2019-12-02 05:10:00,0.001s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/openWebSite""), [""env"":""https://spark--qa.storefront.mybenefitskeeper.com""], STOP_ON_FAILURE)",Safari 11,,2019-12-02 05:10:00,2019-12-02 05:10:05,4.784s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/census_hbi""), [:], CONTINUE_ON_FAILURE)",Safari 11,,2019-12-02 05:10:05,2019-12-02 05:10:18,13.243s,PASSED
Thread.sleep(5000),Safari 11,,2019-12-02 05:10:18,2019-12-02 05:10:23,5.001s,PASSED
"scrollToPosition(200, 2300)",Safari 11,,2019-12-02 05:10:23,2019-12-02 05:10:23,0.030s,PASSED
"click(findTestObject(""mobileSanity/HBI/quote/a_Health Choice""))",Safari 11,,2019-12-02 05:10:23,2019-12-02 05:10:24,0.444s,PASSED
waitForPageLoad(10),Safari 11,,2019-12-02 05:10:24,2019-12-02 05:10:24,0.010s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Safari 11,,2019-12-02 05:10:24,2019-12-02 05:10:24,0.512s,PASSED
"click(findTestObject(""mobileSanity/HBI/detail/a_Apply for This Plan""))",Safari 11,,2019-12-02 05:10:24,2019-12-02 05:10:25,0.372s,PASSED
waitForPageLoad(10),Safari 11,,2019-12-02 05:10:25,2019-12-02 05:10:25,0.025s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Safari 11,,2019-12-02 05:10:25,2019-12-02 05:10:25,0.455s,PASSED
"click(findTestObject(""mobileSanity/HBI/Page_Apply/span_Start Secure Application""))",Safari 11,,2019-12-02 05:10:25,2019-12-02 05:10:25,0.410s,PASSED
waitForPageLoad(10),Safari 11,,2019-12-02 05:10:25,2019-12-02 05:10:25,0.008s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Safari 11,,2019-12-02 05:10:25,2019-12-02 05:10:26,0.483s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/goToEnd_hbi""), [""carrier"":""healthchoiceplus""], CONTINUE_ON_FAILURE)",Safari 11,,2019-12-02 05:10:26,2019-12-02 05:11:15,48.866s,PASSED
,,,,,,
Test Cases/PL Site/Spark/hbi/Vitala Care,Safari 11,,2019-12-02 05:11:15,2019-12-02 05:12:33,1m - 18.341s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/get_screenPath""), [""productLine"":""Spark"", ""carrierName"":""Vitala Care""], CONTINUE_ON_FAILURE)",Safari 11,,2019-12-02 05:11:15,2019-12-02 05:11:15,0.081s,PASSED
i = 0,Safari 11,,2019-12-02 05:11:15,2019-12-02 05:11:15,0.000s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/openWebSite""), [""env"":""https://spark--qa.storefront.mybenefitskeeper.com""], STOP_ON_FAILURE)",Safari 11,,2019-12-02 05:11:15,2019-12-02 05:11:18,3.209s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/census_hbi""), [""zipcode"":""90011""], CONTINUE_ON_FAILURE)",Safari 11,,2019-12-02 05:11:18,2019-12-02 05:11:31,12.742s,PASSED
Thread.sleep(5000),Safari 11,,2019-12-02 05:11:31,2019-12-02 05:11:36,5.001s,PASSED
"scrollToPosition(200, 2300)",Safari 11,,2019-12-02 05:11:36,2019-12-02 05:11:36,0.017s,PASSED
