Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
HIFA,Safari 11,,,2019-12-06 16:36:25,2019-12-06 16:40:52,4m - 27.372s,INCOMPLETE
,,,,,,,
Test Cases/PL Site/HIFA/hbi/Health Choice,Safari 11,,,2019-12-06 16:36:25,2019-12-06 16:38:24,1m - 59.056s,FAILED
"callTestCase(findTestCase(""AHI/_include/get_screenPath""), [""productLine"":""HIFA"", ""carrierName"":""Health Choice""], CONTINUE_ON_FAILURE)",Safari 11,,,2019-12-06 16:36:27,2019-12-06 16:36:32,5.584s,PASSED
i = 0,Safari 11,,,2019-12-06 16:36:32,2019-12-06 16:36:32,0.003s,PASSED
"callTestCase(findTestCase(""AHI/_include/openWebSite""), [""env"":""https://hifa--qa.storefront.mybenefitskeeper.com""], STOP_ON_FAILURE)",Safari 11,,,2019-12-06 16:36:32,2019-12-06 16:37:30,57.520s,PASSED
"callTestCase(findTestCase(""AHI/_include/census_hbi""), [:], CONTINUE_ON_FAILURE)",Safari 11,,,2019-12-06 16:37:30,2019-12-06 16:37:58,28.282s,FAILED
Thread.sleep(5000),Safari 11,,,2019-12-06 16:37:58,2019-12-06 16:38:03,5.003s,PASSED
"scrollToPosition(200, 2300)",Safari 11,,,2019-12-06 16:38:03,2019-12-06 16:38:03,0.060s,PASSED
"click(findTestObject(""mobileSanity/HBI/quote/a_Health Choice""))",Safari 11,,,2019-12-06 16:38:03,2019-12-06 16:38:24,21.367s,FAILED
,,,,,,,
Test Cases/PL Site/HIFA/hbi/Vitala Care,Safari 11,,,2019-12-06 16:38:24,2019-12-06 16:39:39,1m - 14.806s,FAILED
"callTestCase(findTestCase(""AHI/_include/get_screenPath""), [""productLine"":""HIFA"", ""carrierName"":""Vitala Care""], CONTINUE_ON_FAILURE)",Safari 11,,,2019-12-06 16:38:25,2019-12-06 16:38:26,0.607s,PASSED
i = 0,Safari 11,,,2019-12-06 16:38:26,2019-12-06 16:38:26,0.001s,PASSED
"callTestCase(findTestCase(""AHI/_include/openWebSite""), [""env"":""https://hifa--qa.storefront.mybenefitskeeper.com""], STOP_ON_FAILURE)",Safari 11,,,2019-12-06 16:38:26,2019-12-06 16:38:44,18.379s,PASSED
"callTestCase(findTestCase(""AHI/_include/census_hbi""), [""zipcode"":""90011""], CONTINUE_ON_FAILURE)",Safari 11,,,2019-12-06 16:38:44,2019-12-06 16:39:10,26.091s,FAILED
Thread.sleep(5000),Safari 11,,,2019-12-06 16:39:10,2019-12-06 16:39:15,5.002s,PASSED
"scrollToPosition(200, 2300)",Safari 11,,,2019-12-06 16:39:15,2019-12-06 16:39:15,0.020s,PASSED
"click(findTestObject(""mobileSanity/HBI/quote/a_Vitala Care""))",Safari 11,,,2019-12-06 16:39:15,2019-12-06 16:39:39,23.809s,FAILED
,,,,,,,
Test Cases/PL Site/HIFA/stm/AdvantHealth,Safari 11,,,2019-12-06 16:39:39,2019-12-06 16:40:52,1m - 12.815s,FAILED
"callTestCase(findTestCase(""AHI/_include/get_screenPath""), [""productLine"":""HIFA"", ""carrierName"":""AdvantHealth""], CONTINUE_ON_FAILURE)",Safari 11,,,2019-12-06 16:39:40,2019-12-06 16:39:40,0.099s,PASSED
i = 0,Safari 11,,,2019-12-06 16:39:40,2019-12-06 16:39:40,0.001s,PASSED
"callTestCase(findTestCase(""AHI/_include/openWebSite""), [""env"":""https://hifa--qa.storefront.mybenefitskeeper.com""], CONTINUE_ON_FAILURE)",Safari 11,,,2019-12-06 16:39:40,2019-12-06 16:39:49,9.363s,PASSED
"callTestCase(findTestCase(""AHI/_include/census_stm""), [""zipcode"":""35215""], STOP_ON_FAILURE)",Safari 11,,,2019-12-06 16:39:49,2019-12-06 16:40:26,36.911s,PASSED
"callTestCase(findTestCase(""AHI/_include/filter_stm""), [""carrier"":""advanthealth""], STOP_ON_FAILURE)",Safari 11,,,2019-12-06 16:40:26,2019-12-06 16:40:52,26.011s,FAILED
