Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
HIFA,Safari 11,,2020-04-16 08:04:50,2020-04-16 08:11:11,6m - 20.310s,PASSED
,,,,,,
Test Cases/PL Site/HIFA/hbi/Health Choice,Safari 11,,2020-04-16 08:04:51,2020-04-16 08:06:42,1m - 51.783s,PASSED
"callTestCase(findTestCase(""AHI/_include/get_screenPath""), [""productLine"":""HIFA"", ""carrierName"":""Health Choice""], CONTINUE_ON_FAILURE)",Safari 11,,2020-04-16 08:04:51,2020-04-16 08:04:52,0.692s,PASSED
i = 0,Safari 11,,2020-04-16 08:04:52,2020-04-16 08:04:52,0.002s,PASSED
"callTestCase(findTestCase(""AHI/_include/openWebSite""), [""env"":""https://hifa--qa.storefront.mybenefitskeeper.com""], STOP_ON_FAILURE)",Safari 11,,2020-04-16 08:04:52,2020-04-16 08:05:14,22.553s,PASSED
"callTestCase(findTestCase(""PL Site/_include/census_hbi""), [""zipcode"":""35215""], CONTINUE_ON_FAILURE)",Safari 11,,2020-04-16 08:05:14,2020-04-16 08:05:57,42.270s,PASSED
Thread.sleep(5000),Safari 11,,2020-04-16 08:05:57,2020-04-16 08:06:02,5.002s,PASSED
"scrollToPosition(200, 2300)",Safari 11,,2020-04-16 08:06:02,2020-04-16 08:06:02,0.044s,PASSED
"click(findTestObject(""mobileSanity/HBI/quote/a_Health Choice""))",Safari 11,,2020-04-16 08:06:02,2020-04-16 08:06:03,1.023s,PASSED
waitForPageLoad(10),Safari 11,,2020-04-16 08:06:03,2020-04-16 08:06:03,0.019s,PASSED
"callTestCase(findTestCase(""AHI/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Safari 11,,2020-04-16 08:06:03,2020-04-16 08:06:05,1.961s,PASSED
"click(findTestObject(""mobileSanity/HBI/detail/a_Apply for This Plan""))",Safari 11,,2020-04-16 08:06:05,2020-04-16 08:06:06,1.300s,PASSED
waitForPageLoad(10),Safari 11,,2020-04-16 08:06:06,2020-04-16 08:06:06,0.017s,PASSED
"callTestCase(findTestCase(""AHI/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Safari 11,,2020-04-16 08:06:06,2020-04-16 08:06:07,1.497s,PASSED
"click(findTestObject(""mobileSanity/HBI/Page_Apply/span_Start Secure Application""))",Safari 11,,2020-04-16 08:06:07,2020-04-16 08:06:08,0.960s,PASSED
waitForPageLoad(10),Safari 11,,2020-04-16 08:06:08,2020-04-16 08:06:08,0.014s,PASSED
"callTestCase(findTestCase(""AHI/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Safari 11,,2020-04-16 08:06:08,2020-04-16 08:06:11,2.152s,PASSED
"callTestCase(findTestCase(""AHI/_include/goToEnd_hbi""), [""carrier"":""healthchoiceplus""], CONTINUE_ON_FAILURE)",Safari 11,,2020-04-16 08:06:11,2020-04-16 08:06:42,31.867s,PASSED
,,,,,,
Test Cases/PL Site/HIFA/hbi/Vitala Care,Safari 11,,2020-04-16 08:06:42,2020-04-16 08:08:40,1m - 57.334s,PASSED
"callTestCase(findTestCase(""AHI/_include/get_screenPath""), [""productLine"":""HIFA"", ""carrierName"":""Vitala Care""], CONTINUE_ON_FAILURE)",Safari 11,,2020-04-16 08:06:43,2020-04-16 08:06:43,0.177s,PASSED
i = 0,Safari 11,,2020-04-16 08:06:43,2020-04-16 08:06:43,0.000s,PASSED
"callTestCase(findTestCase(""AHI/_include/openWebSite""), [""env"":""https://hifa--qa.storefront.mybenefitskeeper.com""], STOP_ON_FAILURE)",Safari 11,,2020-04-16 08:06:43,2020-04-16 08:07:04,21.127s,PASSED
"callTestCase(findTestCase(""PL Site/_include/census_hbi""), [""zipcode"":""90011""], CONTINUE_ON_FAILURE)",Safari 11,,2020-04-16 08:07:04,2020-04-16 08:07:44,39.746s,PASSED
Thread.sleep(5000),Safari 11,,2020-04-16 08:07:44,2020-04-16 08:07:49,5.002s,PASSED
"scrollToPosition(200, 2300)",Safari 11,,2020-04-16 08:07:49,2020-04-16 08:07:49,0.021s,PASSED
"click(findTestObject(""mobileSanity/HBI/quote/a_Vitala Care""))",Safari 11,,2020-04-16 08:07:49,2020-04-16 08:07:52,3.545s,PASSED
waitForPageLoad(10),Safari 11,,2020-04-16 08:07:52,2020-04-16 08:07:53,0.156s,PASSED
"callTestCase(findTestCase(""AHI/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Safari 11,,2020-04-16 08:07:53,2020-04-16 08:07:54,1.548s,PASSED
"click(findTestObject(""mobileSanity/HBI/detail/a_Apply for This Plan""))",Safari 11,,2020-04-16 08:07:54,2020-04-16 08:07:55,0.775s,PASSED
waitForPageLoad(10),Safari 11,,2020-04-16 08:07:55,2020-04-16 08:07:55,0.048s,PASSED
"callTestCase(findTestCase(""AHI/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Safari 11,,2020-04-16 08:07:55,2020-04-16 08:07:56,1.429s,PASSED
"click(findTestObject(""mobileSanity/HBI/Page_Apply/span_Start Secure Application""))",Safari 11,,2020-04-16 08:07:56,2020-04-16 08:07:57,0.860s,PASSED
waitForPageLoad(10),Safari 11,,2020-04-16 08:07:57,2020-04-16 08:07:57,0.024s,PASSED
"callTestCase(findTestCase(""AHI/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Safari 11,,2020-04-16 08:07:57,2020-04-16 08:07:59,2.274s,PASSED
"callTestCase(findTestCase(""AHI/_include/goToEnd_hbi""), [""carrier"":""vitalacare"", ""state"":""ca""], CONTINUE_ON_FAILURE)",Safari 11,,2020-04-16 08:07:59,2020-04-16 08:08:40,40.304s,PASSED
,,,,,,
Test Cases/PL Site/HIFA/stm/AdvantHealth,Safari 11,,2020-04-16 08:08:40,2020-04-16 08:11:10,2m - 29.769s,PASSED
