Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
ICA,Safari 11,,2019-12-04 04:14:02,2019-12-04 04:15:25,1m - 22.887s,FAILED
,,,,,,
Test Cases/PL Site/ICA/stm/AdvantHealth,Safari 11,,2019-12-04 04:14:03,2019-12-04 04:14:46,42.958s,FAILED
"callTestCase(findTestCase(""mobileWeb/_include/get_screenPath""), [""productLine"":""ICA"", ""carrierName"":""AdvantHealth""], CONTINUE_ON_FAILURE)",Safari 11,,2019-12-04 04:14:03,2019-12-04 04:14:04,0.696s,PASSED
i = 0,Safari 11,,2019-12-04 04:14:04,2019-12-04 04:14:04,0.001s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/openWebSite""), [""env"":""https://ica--qa.storefront.mybenefitskeeper.com""], CONTINUE_ON_FAILURE)",Safari 11,,2019-12-04 04:14:04,2019-12-04 04:14:10,5.870s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/census_stm""), [""zipcode"":""35215""], STOP_ON_FAILURE)",Safari 11,,2019-12-04 04:14:10,2019-12-04 04:14:22,12.292s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/filter_stm""), [""carrier"":""advanthealth""], STOP_ON_FAILURE)",Safari 11,,2019-12-04 04:14:22,2019-12-04 04:14:46,23.715s,FAILED
,,,,,,
Test Cases/PL Site/ICA/stm/LifeShield,Safari 11,,2019-12-04 04:14:46,2019-12-04 04:15:24,38.470s,FAILED
"callTestCase(findTestCase(""mobileWeb/_include/get_screenPath""), [""productLine"":""ICA"", ""carrierName"":""LifeShield""], CONTINUE_ON_FAILURE)",Safari 11,,2019-12-04 04:14:46,2019-12-04 04:14:46,0.097s,PASSED
i = 0,Safari 11,,2019-12-04 04:14:46,2019-12-04 04:14:46,0.001s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/openWebSite""), [""env"":""https://ica--qa.storefront.mybenefitskeeper.com""], CONTINUE_ON_FAILURE)",Safari 11,,2019-12-04 04:14:46,2019-12-04 04:14:49,3.264s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/census_stm""), [""zipcode"":""35215""], STOP_ON_FAILURE)",Safari 11,,2019-12-04 04:14:49,2019-12-04 04:15:01,11.402s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/filter_stm""), [""carrier"":""lifeshield""], STOP_ON_FAILURE)",Safari 11,,2019-12-04 04:15:01,2019-12-04 04:15:24,23.558s,FAILED
