Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
LLBenefit,Safari 11,,2019-12-04 04:11:42,2019-12-04 04:12:57,1m - 15.355s,FAILED
,,,,,,
Test Cases/PL Site/LLBenefits/hbi/Vitala Care,Safari 11,,2019-12-04 04:11:42,2019-12-04 04:12:29,46.726s,FAILED
"callTestCase(findTestCase(""mobileWeb/_include/get_screenPath""), [""productLine"":""LLBenefits"", ""carrierName"":""Vitala Care""], CONTINUE_ON_FAILURE)",Safari 11,,2019-12-04 04:11:43,2019-12-04 04:11:43,0.708s,PASSED
i = 0,Safari 11,,2019-12-04 04:11:43,2019-12-04 04:11:43,0.000s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/openWebSite""), [""env"":""https://llbenefits--qa.storefront.mybenefitskeeper.com""], STOP_ON_FAILURE)",Safari 11,,2019-12-04 04:11:43,2019-12-04 04:11:48,4.387s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/census_hbi""), [""zipcode"":""33186""], CONTINUE_ON_FAILURE)",Safari 11,,2019-12-04 04:11:48,2019-12-04 04:12:01,13.569s,PASSED
Thread.sleep(5000),Safari 11,,2019-12-04 04:12:01,2019-12-04 04:12:06,5.001s,PASSED
"scrollToPosition(200, 2300)",Safari 11,,2019-12-04 04:12:06,2019-12-04 04:12:06,0.034s,PASSED
"click(findTestObject(""mobileSanity/HBI/quote/a_Vitala Care""))",Safari 11,,2019-12-04 04:12:06,2019-12-04 04:12:29,22.569s,FAILED
,,,,,,
Test Cases/PL Site/LLBenefits/stm/LifeShield,Safari 11,,2019-12-04 04:12:29,2019-12-04 04:12:56,27.332s,FAILED
"callTestCase(findTestCase(""mobileWeb/_include/get_screenPath""), [""productLine"":""LLBenefits"", ""carrierName"":""LifeShield""], CONTINUE_ON_FAILURE)",Safari 11,,2019-12-04 04:12:29,2019-12-04 04:12:29,0.085s,PASSED
i = 0,Safari 11,,2019-12-04 04:12:29,2019-12-04 04:12:29,0.001s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/openWebSite""), [""env"":""https://llbenefits--qa.storefront.mybenefitskeeper.com""], CONTINUE_ON_FAILURE)",Safari 11,,2019-12-04 04:12:29,2019-12-04 04:12:33,3.425s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/census_stm""), [""zipcode"":""33186""], STOP_ON_FAILURE)",Safari 11,,2019-12-04 04:12:33,2019-12-04 04:12:56,23.653s,FAILED
