Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
LLBenefits,Safari 11,,,2019-12-06 16:39:20,2019-12-06 16:40:28,1m - 7.998s,INCOMPLETE
,,,,,,,
Test Cases/PL Site/LLBenefits/hbi/Vitala Care,Safari 11,,,2019-12-06 16:39:21,2019-12-06 16:40:28,1m - 7.459s,FAILED
"callTestCase(findTestCase(""AHI/_include/get_screenPath""), [""productLine"":""LLBenefits"", ""carrierName"":""Vitala Care""], CONTINUE_ON_FAILURE)",Safari 11,,,2019-12-06 16:39:22,2019-12-06 16:39:23,1.717s,PASSED
i = 0,Safari 11,,,2019-12-06 16:39:23,2019-12-06 16:39:23,0.001s,PASSED
"callTestCase(findTestCase(""AHI/_include/openWebSite""), [""env"":""https://llbenefits--qa.storefront.mybenefitskeeper.com""], STOP_ON_FAILURE)",Safari 11,,,2019-12-06 16:39:23,2019-12-06 16:39:33,9.655s,PASSED
"callTestCase(findTestCase(""AHI/_include/census_hbi""), [""zipcode"":""33186""], CONTINUE_ON_FAILURE)",Safari 11,,,2019-12-06 16:39:33,2019-12-06 16:40:01,28.319s,FAILED
Thread.sleep(5000),Safari 11,,,2019-12-06 16:40:01,2019-12-06 16:40:06,5.001s,PASSED
"scrollToPosition(200, 2300)",Safari 11,,,2019-12-06 16:40:06,2019-12-06 16:40:07,0.082s,PASSED
"click(findTestObject(""mobileSanity/HBI/quote/a_Vitala Care""))",Safari 11,,,2019-12-06 16:40:07,2019-12-06 16:40:28,21.914s,FAILED
