Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Spark,Safari 11,,2020-04-16 08:08:39,2020-04-16 08:17:32,8m - 53.086s,PASSED
,,,,,,
Test Cases/PL Site/Spark/hbi/Health Choice,Safari 11,,2020-04-16 08:08:39,2020-04-16 08:10:31,1m - 51.768s,PASSED
"callTestCase(findTestCase(""AHI/_include/get_screenPath""), [""productLine"":""Spark"", ""carrierName"":""Health Choice""], CONTINUE_ON_FAILURE)",Safari 11,,2020-04-16 08:08:40,2020-04-16 08:08:42,1.288s,PASSED
i = 0,Safari 11,,2020-04-16 08:08:42,2020-04-16 08:08:42,0.001s,PASSED
"callTestCase(findTestCase(""AHI/_include/openWebSite""), [""env"":""https://spark--qa.storefront.mybenefitskeeper.com""], STOP_ON_FAILURE)",Safari 11,,2020-04-16 08:08:42,2020-04-16 08:09:04,22.461s,PASSED
"callTestCase(findTestCase(""PL Site/_include/census_hbi""), [""zipcode"":""35215""], CONTINUE_ON_FAILURE)",Safari 11,,2020-04-16 08:09:04,2020-04-16 08:09:44,39.612s,PASSED
Thread.sleep(5000),Safari 11,,2020-04-16 08:09:44,2020-04-16 08:09:49,5.030s,PASSED
"scrollToPosition(200, 2300)",Safari 11,,2020-04-16 08:09:49,2020-04-16 08:09:49,0.038s,PASSED
"click(findTestObject(""mobileSanity/HBI/quote/a_Health Choice""))",Safari 11,,2020-04-16 08:09:49,2020-04-16 08:09:54,5.098s,PASSED
waitForPageLoad(10),Safari 11,,2020-04-16 08:09:54,2020-04-16 08:09:54,0.168s,PASSED
"callTestCase(findTestCase(""AHI/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Safari 11,,2020-04-16 08:09:54,2020-04-16 08:09:56,1.735s,PASSED
"click(findTestObject(""mobileSanity/HBI/detail/a_Apply for This Plan""))",Safari 11,,2020-04-16 08:09:56,2020-04-16 08:09:57,0.845s,PASSED
waitForPageLoad(10),Safari 11,,2020-04-16 08:09:57,2020-04-16 08:09:57,0.080s,PASSED
"callTestCase(findTestCase(""AHI/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Safari 11,,2020-04-16 08:09:57,2020-04-16 08:09:59,2.273s,PASSED
"click(findTestObject(""mobileSanity/HBI/Page_Apply/span_Start Secure Application""))",Safari 11,,2020-04-16 08:09:59,2020-04-16 08:10:00,0.866s,PASSED
waitForPageLoad(10),Safari 11,,2020-04-16 08:10:00,2020-04-16 08:10:00,0.161s,PASSED
"callTestCase(findTestCase(""AHI/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Safari 11,,2020-04-16 08:10:00,2020-04-16 08:10:02,1.645s,PASSED
"callTestCase(findTestCase(""AHI/_include/goToEnd_hbi""), [""carrier"":""healthchoiceplus""], CONTINUE_ON_FAILURE)",Safari 11,,2020-04-16 08:10:02,2020-04-16 08:10:31,29.230s,PASSED
