Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TriStar,Safari 11,,,2019-12-06 16:41:39,2019-12-06 16:42:46,1m - 6.478s,INCOMPLETE
,,,,,,,
Test Cases/PL Site/TriStar/hbi/Vitala Care,Safari 11,,,2019-12-06 16:41:40,2019-12-06 16:42:46,1m - 5.967s,FAILED
"callTestCase(findTestCase(""AHI/_include/get_screenPath""), [""productLine"":""TriStar"", ""carrierName"":""Vitala Care""], CONTINUE_ON_FAILURE)",Safari 11,,,2019-12-06 16:41:40,2019-12-06 16:41:43,2.122s,PASSED
i = 0,Safari 11,,,2019-12-06 16:41:43,2019-12-06 16:41:43,0.002s,PASSED
"callTestCase(findTestCase(""AHI/_include/openWebSite""), [""env"":""https://tristar--qa.storefront.mybenefitskeeper.com""], STOP_ON_FAILURE)",Safari 11,,,2019-12-06 16:41:43,2019-12-06 16:41:53,10.724s,PASSED
"callTestCase(findTestCase(""AHI/_include/census_hbi""), [""zipcode"":""90011""], CONTINUE_ON_FAILURE)",Safari 11,,,2019-12-06 16:41:53,2019-12-06 16:42:19,25.767s,FAILED
Thread.sleep(5000),Safari 11,,,2019-12-06 16:42:19,2019-12-06 16:42:24,5.003s,PASSED
"scrollToPosition(200, 2300)",Safari 11,,,2019-12-06 16:42:24,2019-12-06 16:42:24,0.045s,PASSED
"click(findTestObject(""mobileSanity/HBI/quote/a_Vitala Care""))",Safari 11,,,2019-12-06 16:42:24,2019-12-06 16:42:46,21.647s,FAILED
