Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TriStar,Safari 11,,2020-04-07 08:10:25,2020-04-07 08:12:24,1m - 59.177s,PASSED
,,,,,,
Test Cases/PL Site/TriStar/hbi/Vitala Care,Safari 11,,2020-04-07 08:10:25,2020-04-07 08:12:23,1m - 57.463s,PASSED
"callTestCase(findTestCase(""AHI/_include/get_screenPath""), [""productLine"":""TriStar"", ""carrierName"":""Vitala Care""], CONTINUE_ON_FAILURE)",Safari 11,,2020-04-07 08:10:26,2020-04-07 08:10:27,0.680s,PASSED
i = 0,Safari 11,,2020-04-07 08:10:27,2020-04-07 08:10:27,0.001s,PASSED
"callTestCase(findTestCase(""AHI/_include/openWebSite""), [""env"":""https://tristar--qa.storefront.mybenefitskeeper.com""], STOP_ON_FAILURE)",Safari 11,,2020-04-07 08:10:27,2020-04-07 08:10:39,12.779s,PASSED
"callTestCase(findTestCase(""PL Site/_include/census_hbi""), [""zipcode"":""90011""], CONTINUE_ON_FAILURE)",Safari 11,,2020-04-07 08:10:39,2020-04-07 08:11:25,45.963s,PASSED
Thread.sleep(5000),Safari 11,,2020-04-07 08:11:25,2020-04-07 08:11:30,5.002s,PASSED
"scrollToPosition(200, 2300)",Safari 11,,2020-04-07 08:11:30,2020-04-07 08:11:30,0.032s,PASSED
"click(findTestObject(""mobileSanity/HBI/quote/a_Vitala Care""))",Safari 11,,2020-04-07 08:11:30,2020-04-07 08:11:32,1.035s,PASSED
waitForPageLoad(10),Safari 11,,2020-04-07 08:11:32,2020-04-07 08:11:32,0.024s,PASSED
"callTestCase(findTestCase(""AHI/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Safari 11,,2020-04-07 08:11:32,2020-04-07 08:11:33,1.746s,PASSED
"click(findTestObject(""mobileSanity/HBI/detail/a_Apply for This Plan""))",Safari 11,,2020-04-07 08:11:33,2020-04-07 08:11:35,1.409s,PASSED
waitForPageLoad(10),Safari 11,,2020-04-07 08:11:35,2020-04-07 08:11:35,0.012s,PASSED
"callTestCase(findTestCase(""AHI/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Safari 11,,2020-04-07 08:11:35,2020-04-07 08:11:37,2.060s,PASSED
"click(findTestObject(""mobileSanity/HBI/Page_Apply/span_Start Secure Application""))",Safari 11,,2020-04-07 08:11:37,2020-04-07 08:11:37,0.657s,PASSED
waitForPageLoad(10),Safari 11,,2020-04-07 08:11:37,2020-04-07 08:11:38,0.162s,PASSED
"callTestCase(findTestCase(""AHI/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Safari 11,,2020-04-07 08:11:38,2020-04-07 08:11:39,1.762s,PASSED
"callTestCase(findTestCase(""AHI/_include/goToEnd_hbi""), [""carrier"":""vitalacare"", ""state"":""ca""], CONTINUE_ON_FAILURE)",Safari 11,,2020-04-07 08:11:39,2020-04-07 08:12:23,43.617s,PASSED
