Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Level 1,Chrome 70.0.3538.80,,2018-12-20 21:34:12,2018-12-20 21:37:20,3m - 7.283s,ERROR
,,,,,,
Test Cases/Regression/Level 1/LifeShield,Chrome 70.0.3538.80,,2018-12-20 21:34:13,2018-12-20 21:36:01,1m - 48.448s,ERROR
"fastQuoteUrl = ENV + ""/term-health-insurance/quote?partners=1&redirect=1&utm_source=mediaalpha&utm_medium=ppc&utm_campaign=stm_quote&census[location][zip]="" + zipcode + ""&census[effective]="" + effectiveDate + ""&census[member][0][role]=P&census[member][0][gender]=F&census[member][0][dob]="" + dob",Chrome 70.0.3538.80,,2018-12-20 21:34:14,2018-12-20 21:34:14,0.048s,PASSED
println(fastQuoteUrl),Chrome 70.0.3538.80,,2018-12-20 21:34:14,2018-12-20 21:34:14,0.025s,PASSED
openBrowser(fastQuoteUrl),Chrome 70.0.3538.80,,2018-12-20 21:34:14,2018-12-20 21:35:15,1m - 0.959s,PASSED
driver = getWebDriver(),Chrome 70.0.3538.80,,2018-12-20 21:35:15,2018-12-20 21:35:15,0.013s,PASSED
"selenium = new com.thoughtworks.selenium.webdriven.WebDriverBackedSelenium(driver, fastQuoteUrl)",Chrome 70.0.3538.80,,2018-12-20 21:35:15,2018-12-20 21:35:15,0.151s,PASSED
Thread.sleep(6000),Chrome 70.0.3538.80,,2018-12-20 21:35:15,2018-12-20 21:35:21,6.016s,PASSED
"selenium.click(""//a[contains(text(),'LifeShield Flex 5K/20/9K/750K Extended')]"")",Chrome 70.0.3538.80,,2018-12-20 21:35:21,2018-12-20 21:35:59,38.113s,ERROR
,,,,,,
Test Cases/Regression/Level 1/LifeShield,Chrome 70.0.3538.80,,2018-12-20 21:36:01,2018-12-20 21:37:17,1m - 15.222s,ERROR
"fastQuoteUrl = ENV + ""/term-health-insurance/quote?partners=1&redirect=1&utm_source=mediaalpha&utm_medium=ppc&utm_campaign=stm_quote&census[location][zip]="" + zipcode + ""&census[effective]="" + effectiveDate + ""&census[member][0][role]=P&census[member][0][gender]=F&census[member][0][dob]="" + dob",Chrome 70.0.3538.80,,2018-12-20 21:36:01,2018-12-20 21:36:01,0.002s,PASSED
println(fastQuoteUrl),Chrome 70.0.3538.80,,2018-12-20 21:36:01,2018-12-20 21:36:01,0.001s,PASSED
openBrowser(fastQuoteUrl),Chrome 70.0.3538.80,,2018-12-20 21:36:01,2018-12-20 21:37:03,1m - 1.105s,PASSED
driver = getWebDriver(),Chrome 70.0.3538.80,,2018-12-20 21:37:03,2018-12-20 21:37:03,0.001s,PASSED
"selenium = new com.thoughtworks.selenium.webdriven.WebDriverBackedSelenium(driver, fastQuoteUrl)",Chrome 70.0.3538.80,,2018-12-20 21:37:03,2018-12-20 21:37:03,0.038s,PASSED
Thread.sleep(6000),Chrome 70.0.3538.80,,2018-12-20 21:37:03,2018-12-20 21:37:09,6.006s,PASSED
"selenium.click(""//a[contains(text(),'LifeShield Flex 5K/20/9K/750K Extended')]"")",Chrome 70.0.3538.80,,2018-12-20 21:37:09,2018-12-20 21:37:15,5.969s,ERROR
