Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
dental,Safari 11,,,2019-09-05 14:28:30,2019-09-05 14:34:23,5m - 53.915s,INCOMPLETE
,,,,,,,
Test Cases/mobileWeb/Dental/National General,Safari 11,Dental - National General application flow,,2019-09-05 14:28:30,2019-09-05 14:30:38,2m - 7.650s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/get_screenPath""), [""productLine"":""dental"", ""carrierName"":""National General""], CONTINUE_ON_FAILURE)",Safari 11,,,2019-09-05 14:28:31,2019-09-05 14:28:32,1.396s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/openWebSite""), [:], STOP_ON_FAILURE)",Safari 11,,,2019-09-05 14:28:32,2019-09-05 14:28:42,10.532s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/census_dental""), [""zipcode"":zipcode, ""dob"":""12/12/1980""], STOP_ON_FAILURE)",Safari 11,,,2019-09-05 14:28:42,2019-09-05 14:29:00,17.393s,PASSED
"click(findTestObject(""mobileSanity/Dental/filter/btn_filter""))",Safari 11,,,2019-09-05 14:29:00,2019-09-05 14:29:00,0.161s,PASSED
"waitForElementVisible(findTestObject(""mobileSanity/Dental/filter/btn_company""), 10)",Safari 11,,,2019-09-05 14:29:00,2019-09-05 14:29:00,0.096s,PASSED
"click(findTestObject(""mobileSanity/Dental/filter/btn_company""))",Safari 11,,,2019-09-05 14:29:00,2019-09-05 14:29:00,0.140s,PASSED
Thread.sleep(2000),Safari 11,,,2019-09-05 14:29:00,2019-09-05 14:29:02,2.001s,PASSED
"click(findTestObject(""mobileSanity/Dental/filter/btn_ng""))",Safari 11,,,2019-09-05 14:29:02,2019-09-05 14:29:02,0.200s,PASSED
"waitForJQueryLoad(20, STOP_ON_FAILURE)",Safari 11,,,2019-09-05 14:29:02,2019-09-05 14:29:04,1.117s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Safari 11,,,2019-09-05 14:29:04,2019-09-05 14:29:04,0.785s,PASSED
"click(findTestObject(""mobileSanity/Dental/filter/btn_filter""))",Safari 11,,,2019-09-05 14:29:04,2019-09-05 14:29:04,0.138s,PASSED
"click(findTestObject(""mobileSanity/Dental/quote/a_Select This Plan""))",Safari 11,,,2019-09-05 14:29:04,2019-09-05 14:29:06,1.170s,PASSED
waitForPageLoad(10),Safari 11,,,2019-09-05 14:29:06,2019-09-05 14:29:06,0.096s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Safari 11,,,2019-09-05 14:29:06,2019-09-05 14:29:07,0.925s,PASSED
"click(findTestObject(""mobileSanity/Dental/apply/span_Start Secure Application""))",Safari 11,,,2019-09-05 14:29:07,2019-09-05 14:29:08,1.509s,PASSED
waitForPageLoad(10),Safari 11,,,2019-09-05 14:29:08,2019-09-05 14:29:09,0.859s,PASSED
Thread.sleep(2000),Safari 11,,,2019-09-05 14:29:09,2019-09-05 14:29:11,2.000s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Safari 11,,,2019-09-05 14:29:11,2019-09-05 14:29:12,0.734s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/goToEnd_dental""), [""carrier"":""nationalgeneral""], CONTINUE_ON_FAILURE)",Safari 11,,,2019-09-05 14:29:12,2019-09-05 14:30:38,1m - 25.791s,PASSED
,,,,,,,
Test Cases/mobileWeb/Dental/Nationwide,Safari 11,,,2019-09-05 14:30:38,2019-09-05 14:32:27,1m - 49.486s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/get_screenPath""), [""productLine"":""dental"", ""carrierName"":""Nationwide""], CONTINUE_ON_FAILURE)",Safari 11,,,2019-09-05 14:30:38,2019-09-05 14:30:38,0.075s,PASSED
i = 0,Safari 11,,,2019-09-05 14:30:38,2019-09-05 14:30:38,0.000s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/openWebSite""), [:], STOP_ON_FAILURE)",Safari 11,,,2019-09-05 14:30:38,2019-09-05 14:30:45,7.475s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/census_dental""), [:], STOP_ON_FAILURE)",Safari 11,,,2019-09-05 14:30:45,2019-09-05 14:31:02,16.535s,PASSED
"click(findTestObject(""mobileSanity/Dental/filter/btn_filter""))",Safari 11,,,2019-09-05 14:31:02,2019-09-05 14:31:02,0.182s,PASSED
Thread.sleep(1000),Safari 11,,,2019-09-05 14:31:02,2019-09-05 14:31:03,1.001s,PASSED
"waitForElementVisible(findTestObject(""mobileSanity/Dental/filter/btn_company""), 10)",Safari 11,,,2019-09-05 14:31:03,2019-09-05 14:31:03,0.069s,PASSED
"click(findTestObject(""mobileSanity/Dental/filter/btn_company""))",Safari 11,,,2019-09-05 14:31:03,2019-09-05 14:31:03,0.140s,PASSED
Thread.sleep(2000),Safari 11,,,2019-09-05 14:31:03,2019-09-05 14:31:05,2.001s,PASSED
"click(findTestObject(""mobileSanity/Dental/filter/btn_nationwide""))",Safari 11,,,2019-09-05 14:31:05,2019-09-05 14:31:06,0.176s,PASSED
"waitForJQueryLoad(20, STOP_ON_FAILURE)",Safari 11,,,2019-09-05 14:31:06,2019-09-05 14:31:07,1.565s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Safari 11,,,2019-09-05 14:31:07,2019-09-05 14:31:08,0.784s,PASSED
"click(findTestObject(""mobileSanity/Dental/filter/btn_filter""))",Safari 11,,,2019-09-05 14:31:08,2019-09-05 14:31:08,0.145s,PASSED
"click(findTestObject(""mobileSanity/Dental/quote/a_Select This Plan""))",Safari 11,,,2019-09-05 14:31:08,2019-09-05 14:31:09,1.398s,PASSED
waitForPageLoad(10),Safari 11,,,2019-09-05 14:31:09,2019-09-05 14:31:09,0.065s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Safari 11,,,2019-09-05 14:31:09,2019-09-05 14:31:10,0.927s,PASSED
"click(findTestObject(""mobileSanity/Dental/apply/span_Start Secure Application""))",Safari 11,,,2019-09-05 14:31:10,2019-09-05 14:31:12,1.687s,PASSED
waitForPageLoad(10),Safari 11,,,2019-09-05 14:31:12,2019-09-05 14:31:13,0.652s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Safari 11,,,2019-09-05 14:31:13,2019-09-05 14:31:13,0.746s,PASSED
