Suite/Test/Step NameSuite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
dentalteladoc,Safari 11,1,2019-10-15 09:40:32,1019:38:2119-,.019:38:2119-10-15 09:40:321h - 58m - 19.056s2,1:19:5FAILED
,,,,,,
Test Cases/mobileWeb/Dental/National General,Safari 11,Dental - National General application flow,2019-10-15 09:40:34,2019-10-15 09:44:40,4m - 6.310s,FAILED
"callTestCase(findTestCase(""mobileWeb/_include/get_screenPath""), [""productLine"":""dental"", ""carrierName"":""National General""], CONTINUE_ON_FAILURE)",Safari 11,,2019-10-15 09:40:37,2019-10-15 09:40:45,7.754s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/openWebSite""), [:], STOP_ON_FAILURE)",Safari 11,,2019-10-15 09:40:45,2019-10-15 09:44:25,3m - 40.034s,FAILED
,,,,,,
Test Cases/mobileWeb/Dental/Nationwide,Safari 11,,2019-10-15 09:44:49,2019-10-15 10:18:28,33m - 38.704s,FAILED
"callTestCase(findTestCase(""mobileWeb/_include/get_screenPath""), [""productLine"":""dental"", ""carrierName"":""Nationwide""], CONTINUE_ON_FAILURE)",Safari 11,,2019-10-15 09:47:16,2019-10-15 09:47:43,27.045s,PASSED
i = 0,Safari 11,,2019-10-15 09:47:44,2019-10-15 09:47:44,0.428s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/openWebSite""), [:], STOP_ON_FAILURE)",Safari 11,,2019-10-15 09:47:44,2019-10-15 10:18:15,30m - 31.204s,FAILED
,,,,,,
Test Cases/mobileWeb/Dental/USA Access,Safari 11,,2019-10-15 10:18:56,2019-10-15 11:29:06,1h - 10m - 10.062s,FAILED
"callTestCase(findTestCase(""mobileWeb/_include/get_screenPath""), [""productLine"":""dental"", ""carrierName"":""USA Access""], CONTINUE_ON_FAILURE)",Safari 11,,2019-10-15 10:57:28,2019-10-15 10:57:33,4.569s,PASSED
i = 0,Safari 11,,2019-10-15 10:57:33,2019-10-15 10:57:33,0.000s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/openWebSite""), [:], STOP_ON_FAILURE)",Safari 11,,2019-10-15 10:57:33,2019-10-15 11:29:03,31m - 30.289s,FAILED
