Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
hbi,Safari 11,hbi flow,2019-03-08 14:44:31,2019-03-08 14:50:11,5m - 40.364s,FAILED
,,,,,,
Test Cases/mobileWeb/HBI/Agile One,Safari 11,Agile One application flow,2019-03-08 14:44:32,2019-03-08 14:45:17,45.640s,FAILED
now = new java.util.Date(),Safari 11,,2019-03-08 14:44:32,2019-03-08 14:44:32,0.005s,PASSED
"mydate = now.format(""yyyyMMdd_HHmmss"")",Safari 11,,2019-03-08 14:44:32,2019-03-08 14:44:32,0.004s,PASSED
"screenPath = hbiPath + ""Agile One/"" + mydate + ""/""",Safari 11,,2019-03-08 14:44:32,2019-03-08 14:44:32,0.059s,PASSED
i = 0,Safari 11,,2019-03-08 14:44:32,2019-03-08 14:44:32,0.001s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/openWebSite""), [:], CONTINUE_ON_FAILURE)",Safari 11,,2019-03-08 14:44:32,2019-03-08 14:44:46,13.993s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/census_hbi""), [:], CONTINUE_ON_FAILURE)",Safari 11,,2019-03-08 14:44:46,2019-03-08 14:44:51,4.631s,FAILED
Thread.sleep(5000),Safari 11,,2019-03-08 14:44:51,2019-03-08 14:44:56,5.002s,PASSED
"scrollToPosition(200, 2300)",Safari 11,,2019-03-08 14:44:56,2019-03-08 14:44:56,0.025s,PASSED
"click(findTestObject(""mobileSanity/HBI/quote/a_Agile One 750""))",Safari 11,,2019-03-08 14:44:56,2019-03-08 14:45:17,21.070s,FAILED
,,,,,,
Test Cases/mobileWeb/HBI/Legion Limited Medical,Safari 11,Axis Legion application flow,2019-03-08 14:45:17,2019-03-08 14:45:29,11.585s,FAILED
now = new java.util.Date(),Safari 11,,2019-03-08 14:45:18,2019-03-08 14:45:18,0.002s,PASSED
"mydate = now.format(""yyyyMMdd_HHmmss"")",Safari 11,,2019-03-08 14:45:18,2019-03-08 14:45:18,0.003s,PASSED
"screenPath = hbiPath + ""Legion Limited Medical/"" + mydate + ""/""",Safari 11,,2019-03-08 14:45:18,2019-03-08 14:45:18,0.001s,PASSED
i = 0,Safari 11,,2019-03-08 14:45:18,2019-03-08 14:45:18,0.001s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/openWebSite""), [:], CONTINUE_ON_FAILURE)",Safari 11,,2019-03-08 14:45:18,2019-03-08 14:45:25,7.082s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/census_hbi""), [:], CONTINUE_ON_FAILURE)",Safari 11,,2019-03-08 14:45:25,2019-03-08 14:45:29,4.107s,FAILED
"click(findTestObject(""mobileSanity/HBI/quote/a_Legion Limited Medical 500""))",Safari 11,,2019-03-08 14:45:29,2019-03-08 14:45:29,0.015s,FAILED
,,,,,,
Test Cases/mobileWeb/HBI/Cardinal Choice,Safari 11,Cardinal Choice application flow,2019-03-08 14:45:29,2019-03-08 14:46:01,31.763s,FAILED
now = new java.util.Date(),Safari 11,,2019-03-08 14:45:29,2019-03-08 14:45:29,0.000s,PASSED
"mydate = now.format(""yyyyMMdd_HHmmss"")",Safari 11,,2019-03-08 14:45:29,2019-03-08 14:45:29,0.001s,PASSED
"screenPath = hbiPath + ""Cardinal Choice/"" + mydate + ""/""",Safari 11,,2019-03-08 14:45:29,2019-03-08 14:45:29,0.001s,PASSED
i = 0,Safari 11,,2019-03-08 14:45:29,2019-03-08 14:45:29,0.001s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/openWebSite""), [:], CONTINUE_ON_FAILURE)",Safari 11,,2019-03-08 14:45:29,2019-03-08 14:45:55,26.150s,FAILED
"callTestCase(findTestCase(""mobileWeb/_include/census_hbi""), [:], CONTINUE_ON_FAILURE)",Safari 11,,2019-03-08 14:45:55,2019-03-08 14:45:55,0.132s,FAILED
Thread.sleep(5000),Safari 11,,2019-03-08 14:45:55,2019-03-08 14:46:00,5.001s,PASSED
"scrollToPosition(200, 2300)",Safari 11,,2019-03-08 14:46:00,2019-03-08 14:46:01,0.030s,FAILED
,,,,,,
Test Cases/mobileWeb/HBI/Core Shield,Safari 11,Core Shield application flow,2019-03-08 14:46:01,2019-03-08 14:48:22,2m - 21.030s,FAILED
now = new java.util.Date(),Safari 11,,2019-03-08 14:46:01,2019-03-08 14:46:01,0.001s,PASSED
"mydate = now.format(""yyyyMMdd_HHmmss"")",Safari 11,,2019-03-08 14:46:01,2019-03-08 14:46:01,0.000s,PASSED
"screenPath = hbiPath + ""Core Shield/"" + mydate + ""/""",Safari 11,,2019-03-08 14:46:01,2019-03-08 14:46:01,0.001s,PASSED
i = 0,Safari 11,,2019-03-08 14:46:01,2019-03-08 14:46:01,0.001s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/openWebSite""), [:], CONTINUE_ON_FAILURE)",Safari 11,,2019-03-08 14:46:01,2019-03-08 14:46:09,8.633s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/census_hbi""), [:], CONTINUE_ON_FAILURE)",Safari 11,,2019-03-08 14:46:09,2019-03-08 14:46:23,13.439s,PASSED
Thread.sleep(5000),Safari 11,,2019-03-08 14:46:23,2019-03-08 14:46:28,5.004s,PASSED
"scrollToPosition(200, 2300)",Safari 11,,2019-03-08 14:46:28,2019-03-08 14:46:28,0.015s,PASSED
"click(findTestObject(""mobileSanity/HBI/quote/a_Core Shield""))",Safari 11,,2019-03-08 14:46:28,2019-03-08 14:47:48,1m - 19.880s,PASSED
waitForPageLoad(10),Safari 11,,2019-03-08 14:47:48,2019-03-08 14:47:48,0.099s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Safari 11,,2019-03-08 14:47:48,2019-03-08 14:47:49,0.904s,PASSED
"click(findTestObject(""mobileSanity/HBI/detail/a_Apply for This Plan""))",Safari 11,,2019-03-08 14:47:49,2019-03-08 14:47:50,1.265s,PASSED
waitForPageLoad(10),Safari 11,,2019-03-08 14:47:50,2019-03-08 14:47:50,0.009s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Safari 11,,2019-03-08 14:47:50,2019-03-08 14:47:50,0.465s,PASSED
"click(findTestObject(""mobileSanity/HBI/Page_Apply/span_Start Secure Application""))",Safari 11,,2019-03-08 14:47:50,2019-03-08 14:47:53,2.130s,PASSED
waitForPageLoad(10),Safari 11,,2019-03-08 14:47:53,2019-03-08 14:47:53,0.049s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Safari 11,,2019-03-08 14:47:53,2019-03-08 14:47:53,0.902s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/goToEnd_hbi""), [""carrier"":""coreshield""], CONTINUE_ON_FAILURE)",Safari 11,,2019-03-08 14:47:53,2019-03-08 14:48:22,28.059s,FAILED
,,,,,,
Test Cases/mobileWeb/HBI/Agile Secure,Safari 11,,2019-03-08 14:48:22,2019-03-08 14:49:14,52.309s,FAILED
now = new java.util.Date(),Safari 11,,2019-03-08 14:48:22,2019-03-08 14:48:22,0.002s,PASSED
"mydate = now.format(""yyyyMMdd_HHmmss"")",Safari 11,,2019-03-08 14:48:22,2019-03-08 14:48:22,0.001s,PASSED
"screenPath = hbiPath + ""Agile Secure/"" + mydate + ""/""",Safari 11,,2019-03-08 14:48:22,2019-03-08 14:48:22,0.001s,PASSED
i = 0,Safari 11,,2019-03-08 14:48:22,2019-03-08 14:48:22,0.000s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/openWebSite""), [:], CONTINUE_ON_FAILURE)",Safari 11,,2019-03-08 14:48:22,2019-03-08 14:48:28,5.710s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/census_hbi""), [""zipcode"":""08701""], CONTINUE_ON_FAILURE)",Safari 11,,2019-03-08 14:48:28,2019-03-08 14:48:34,6.808s,PASSED
"click(findTestObject(""mobileSanity/HBI/detail/a_Apply for This Plan""))",Safari 11,,2019-03-08 14:48:34,2019-03-08 14:48:43,8.799s,PASSED
waitForPageLoad(10),Safari 11,,2019-03-08 14:48:43,2019-03-08 14:48:43,0.051s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Safari 11,,2019-03-08 14:48:43,2019-03-08 14:48:44,0.823s,PASSED
"click(findTestObject(""mobileSanity/HBI/Page_Apply/span_Start Secure Application""))",Safari 11,,2019-03-08 14:48:44,2019-03-08 14:48:45,1.481s,PASSED
waitForPageLoad(10),Safari 11,,2019-03-08 14:48:45,2019-03-08 14:48:45,0.017s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Safari 11,,2019-03-08 14:48:45,2019-03-08 14:48:46,0.835s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/goToEnd_hbi""), [""carrier"":""agilesecure""], CONTINUE_ON_FAILURE)",Safari 11,,2019-03-08 14:48:46,2019-03-08 14:49:14,27.530s,FAILED
,,,,,,
Test Cases/mobileWeb/HBI/Fixed Cash Benefit,Safari 11,,2019-03-08 14:49:14,2019-03-08 14:50:11,57.309s,FAILED
now = new java.util.Date(),Safari 11,,2019-03-08 14:49:14,2019-03-08 14:49:14,0.001s,PASSED
"mydate = now.format(""yyyyMMdd_HHmmss"")",Safari 11,,2019-03-08 14:49:14,2019-03-08 14:49:14,0.000s,PASSED
"screenPath = hbiPath + ""Fixed Cash Benefit/"" + mydate + ""/""",Safari 11,,2019-03-08 14:49:14,2019-03-08 14:49:14,0.000s,PASSED
i = 0,Safari 11,,2019-03-08 14:49:14,2019-03-08 14:49:14,0.000s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/openWebSite""), [:], CONTINUE_ON_FAILURE)",Safari 11,,2019-03-08 14:49:14,2019-03-08 14:49:19,5.241s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/census_hbi""), [""zipcode"":""72209""], CONTINUE_ON_FAILURE)",Safari 11,,2019-03-08 14:49:19,2019-03-08 14:49:32,12.807s,PASSED
Thread.sleep(5000),Safari 11,,2019-03-08 14:49:32,2019-03-08 14:49:37,5.001s,PASSED
"scrollToPosition(200, 2300)",Safari 11,,2019-03-08 14:49:37,2019-03-08 14:49:37,0.025s,PASSED
"click(findTestObject(""mobileSanity/HBI/quote/a_Fixed Cash Benefit""))",Safari 11,,2019-03-08 14:49:37,2019-03-08 14:49:39,1.540s,PASSED
waitForPageLoad(10),Safari 11,,2019-03-08 14:49:39,2019-03-08 14:49:39,0.042s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Safari 11,,2019-03-08 14:49:39,2019-03-08 14:49:39,0.858s,PASSED
"click(findTestObject(""mobileSanity/HBI/detail/a_Apply for This Plan""))",Safari 11,,2019-03-08 14:49:39,2019-03-08 14:49:41,1.743s,PASSED
waitForPageLoad(10),Safari 11,,2019-03-08 14:49:41,2019-03-08 14:49:42,0.331s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Safari 11,,2019-03-08 14:49:42,2019-03-08 14:49:42,0.561s,PASSED
"click(findTestObject(""mobileSanity/HBI/Page_Apply/span_Start Secure Application""))",Safari 11,,2019-03-08 14:49:42,2019-03-08 14:49:44,2.041s,PASSED
waitForPageLoad(10),Safari 11,,2019-03-08 14:49:44,2019-03-08 14:49:44,0.028s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Safari 11,,2019-03-08 14:49:44,2019-03-08 14:49:45,0.883s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/goToEnd_hbi""), [""carrier"":""FixedCashBenefit""], CONTINUE_ON_FAILURE)",Safari 11,,2019-03-08 14:49:45,2019-03-08 14:50:11,26.097s,FAILED
