Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
hbi,Safari 11,hbi flow,,2019-09-05 15:02:12,2019-09-05 15:15:01,12m - 49.226s,INCOMPLETE
,,,,,,,
Test Cases/mobileWeb/HBI/Agile One,Safari 11,Agile One application flow,,2019-09-05 15:02:12,2019-09-05 15:04:04,1m - 51.965s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/get_screenPath""), [""productLine"":""hbi"", ""carrierName"":""Agile One""], CONTINUE_ON_FAILURE)",Safari 11,,,2019-09-05 15:02:13,2019-09-05 15:02:14,1.401s,PASSED
i = 0,Safari 11,,,2019-09-05 15:02:14,2019-09-05 15:02:14,0.003s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/openWebSite""), [:], CONTINUE_ON_FAILURE)",Safari 11,,,2019-09-05 15:02:14,2019-09-05 15:02:25,10.858s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/census_hbi""), [:], CONTINUE_ON_FAILURE)",Safari 11,,,2019-09-05 15:02:25,2019-09-05 15:02:41,15.883s,PASSED
Thread.sleep(5000),Safari 11,,,2019-09-05 15:02:41,2019-09-05 15:02:46,5.001s,PASSED
"scrollToPosition(200, 2300)",Safari 11,,,2019-09-05 15:02:46,2019-09-05 15:02:46,0.060s,PASSED
"click(findTestObject(""mobileSanity/HBI/quote/a_Agile One 750""))",Safari 11,,,2019-09-05 15:02:46,2019-09-05 15:02:52,6.333s,PASSED
waitForPageLoad(20),Safari 11,,,2019-09-05 15:02:52,2019-09-05 15:02:53,0.096s,PASSED
"waitForElementPresent(findTestObject(""mobileSanity/HBI/detail/a_Apply for This Plan""), 20)",Safari 11,,,2019-09-05 15:02:53,2019-09-05 15:02:53,0.809s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Safari 11,,,2019-09-05 15:02:53,2019-09-05 15:02:54,0.771s,PASSED
"click(findTestObject(""mobileSanity/HBI/detail/a_Apply for This Plan""))",Safari 11,,,2019-09-05 15:02:54,2019-09-05 15:02:57,3.071s,PASSED
waitForPageLoad(20),Safari 11,,,2019-09-05 15:02:57,2019-09-05 15:02:57,0.078s,PASSED
"waitForElementPresent(findTestObject(""mobileSanity/HBI/Page_Apply/span_Start Secure Application""), 20)",Safari 11,,,2019-09-05 15:02:57,2019-09-05 15:02:58,0.528s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Safari 11,,,2019-09-05 15:02:58,2019-09-05 15:02:59,0.724s,PASSED
"click(findTestObject(""mobileSanity/HBI/Page_Apply/span_Start Secure Application""))",Safari 11,,,2019-09-05 15:02:59,2019-09-05 15:03:01,2.184s,PASSED
waitForPageLoad(20),Safari 11,,,2019-09-05 15:03:01,2019-09-05 15:03:01,0.269s,PASSED
Thread.sleep(5000),Safari 11,,,2019-09-05 15:03:01,2019-09-05 15:03:06,5.000s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Safari 11,,,2019-09-05 15:03:06,2019-09-05 15:03:07,0.789s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/goToEnd_hbi""), [""carrier"":""agileone""], CONTINUE_ON_FAILURE)",Safari 11,,,2019-09-05 15:03:07,2019-09-05 15:04:04,57.678s,PASSED
,,,,,,,
Test Cases/mobileWeb/HBI/Legion Limited Medical,Safari 11,Axis Legion application flow,,2019-09-05 15:04:04,2019-09-05 15:05:37,1m - 32.210s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/get_screenPath""), [""productLine"":""hbi"", ""carrierName"":""Legion Limited Medical""], CONTINUE_ON_FAILURE)",Safari 11,,,2019-09-05 15:04:05,2019-09-05 15:04:05,0.075s,PASSED
i = 0,Safari 11,,,2019-09-05 15:04:05,2019-09-05 15:04:05,0.001s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/openWebSite""), [:], CONTINUE_ON_FAILURE)",Safari 11,,,2019-09-05 15:04:05,2019-09-05 15:04:14,8.823s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/census_hbi""), [:], CONTINUE_ON_FAILURE)",Safari 11,,,2019-09-05 15:04:14,2019-09-05 15:04:27,13.387s,PASSED
"click(findTestObject(""mobileSanity/HBI/quote/a_Legion Limited Medical 500""))",Safari 11,,,2019-09-05 15:04:27,2019-09-05 15:04:33,5.588s,PASSED
waitForPageLoad(20),Safari 11,,,2019-09-05 15:04:33,2019-09-05 15:04:33,0.281s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Safari 11,,,2019-09-05 15:04:33,2019-09-05 15:04:34,1.012s,PASSED
"click(findTestObject(""mobileSanity/HBI/detail/a_Apply for This Plan""))",Safari 11,,,2019-09-05 15:04:34,2019-09-05 15:04:35,1.202s,PASSED
waitForPageLoad(20),Safari 11,,,2019-09-05 15:04:35,2019-09-05 15:04:35,0.111s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Safari 11,,,2019-09-05 15:04:35,2019-09-05 15:04:36,0.929s,PASSED
"click(findTestObject(""mobileSanity/HBI/Page_Apply/span_Start Secure Application""))",Safari 11,,,2019-09-05 15:04:36,2019-09-05 15:04:38,1.674s,PASSED
waitForPageLoad(20),Safari 11,,,2019-09-05 15:04:38,2019-09-05 15:04:39,0.834s,PASSED
Thread.sleep(5000),Safari 11,,,2019-09-05 15:04:39,2019-09-05 15:04:44,5.001s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Safari 11,,,2019-09-05 15:04:44,2019-09-05 15:04:44,0.792s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/goToEnd_hbi""), [""carrier"":""legionlimitedmedical""], CONTINUE_ON_FAILURE)",Safari 11,,,2019-09-05 15:04:44,2019-09-05 15:05:37,52.270s,PASSED
,,,,,,,
Test Cases/mobileWeb/HBI/Cardinal Choice,Safari 11,Cardinal Choice application flow,,2019-09-05 15:05:37,2019-09-05 15:07:11,1m - 34.768s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/get_screenPath""), [""productLine"":""hbi"", ""carrierName"":""Cardinal Choice""], CONTINUE_ON_FAILURE)",Safari 11,,,2019-09-05 15:05:37,2019-09-05 15:05:37,0.070s,PASSED
i = 0,Safari 11,,,2019-09-05 15:05:37,2019-09-05 15:05:37,0.001s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/openWebSite""), [:], CONTINUE_ON_FAILURE)",Safari 11,,,2019-09-05 15:05:37,2019-09-05 15:05:46,8.555s,PASSED
