Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
plan detail,Safari 11,,,2019-08-12 17:37:49,2019-08-12 18:21:59,44m - 10.443s,INCOMPLETE
,,,,,,,
Test Cases/mobileWeb/Other Pages Check/Plan Detail/dental/national general,Safari 11,,,2019-08-12 17:37:49,2019-08-12 17:38:15,25.641s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/get_screenPath""), [""productLine"":""Plan Detail"", ""carrierName"":""dental national general""], CONTINUE_ON_FAILURE)",Safari 11,,,2019-08-12 17:37:50,2019-08-12 17:37:51,1.313s,PASSED
i = 0,Safari 11,,,2019-08-12 17:37:51,2019-08-12 17:37:51,0.004s,PASSED
"openBrowser(""https://praetemptatus.agilehealthinsurance.com/health-benefit-insurance/plan/nationalgeneral-dental-essentials-al?census[location][zip]=35215&census[member][0][dob]=1/1/1980&census[member][0][gender]=F&census[member][0][role]=P"")",Safari 11,,,2019-08-12 17:37:51,2019-08-12 17:38:02,11.014s,PASSED
waitForPageLoad(20),Safari 11,,,2019-08-12 17:38:02,2019-08-12 17:38:02,0.135s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/get_scrollScreenshot""), [:], STOP_ON_FAILURE)",Safari 11,,,2019-08-12 17:38:02,2019-08-12 17:38:15,12.643s,PASSED
,,,,,,,
Test Cases/mobileWeb/Other Pages Check/Plan Detail/dental/nationwide,Safari 11,,,2019-08-12 17:38:15,2019-08-12 17:38:35,19.704s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/get_screenPath""), [""productLine"":""Plan Detail"", ""carrierName"":""dental nationwide""], CONTINUE_ON_FAILURE)",Safari 11,,,2019-08-12 17:38:15,2019-08-12 17:38:15,0.089s,PASSED
i = 0,Safari 11,,,2019-08-12 17:38:15,2019-08-12 17:38:15,0.001s,PASSED
"openBrowser(""https://praetemptatus.agilehealthinsurance.com/health-benefit-insurance/plan/foundation-dental-defender-al?census[location][zip]=35215&census[member][0][dob]=1/1/1980&census[member][0][gender]=F&census[member][0][role]=P"")",Safari 11,,,2019-08-12 17:38:15,2019-08-12 17:38:23,7.576s,PASSED
waitForPageLoad(20),Safari 11,,,2019-08-12 17:38:23,2019-08-12 17:38:23,0.032s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/get_scrollScreenshot""), [:], STOP_ON_FAILURE)",Safari 11,,,2019-08-12 17:38:23,2019-08-12 17:38:35,11.747s,PASSED
,,,,,,,
Test Cases/mobileWeb/Other Pages Check/Plan Detail/hbi/agile one,Safari 11,,,2019-08-12 17:38:35,2019-08-12 17:39:30,55.763s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/get_screenPath""), [""productLine"":""Plan Detail"", ""carrierName"":""hbi agile one""], CONTINUE_ON_FAILURE)",Safari 11,,,2019-08-12 17:38:35,2019-08-12 17:38:35,0.084s,PASSED
i = 0,Safari 11,,,2019-08-12 17:38:35,2019-08-12 17:38:35,0.001s,PASSED
"openBrowser(""https://praetemptatus.agilehealthinsurance.com/health-benefit-insurance/plan/agileone-al-750?census[location][zip]=35215&census[member][0][dob]=1/1/1980&census[member][0][gender]=F&census[member][0][role]=P"")",Safari 11,,,2019-08-12 17:38:35,2019-08-12 17:38:44,9.493s,PASSED
waitForPageLoad(20),Safari 11,,,2019-08-12 17:38:44,2019-08-12 17:38:44,0.031s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/get_scrollScreenshot""), [:], STOP_ON_FAILURE)",Safari 11,,,2019-08-12 17:38:44,2019-08-12 17:39:30,45.902s,PASSED
,,,,,,,
