Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
stm,Safari 11,,,2019-09-05 13:11:04,2019-09-05 13:26:56,15m - 51.792s,INCOMPLETE
,,,,,,,
Test Cases/mobileWeb/stm/Slaico,Safari 11,,,2019-09-05 13:11:04,2019-09-05 13:13:07,2m - 2.751s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/get_screenPath""), [""productLine"":""stm"", ""carrierName"":""Salico""], CONTINUE_ON_FAILURE)",Safari 11,,,2019-09-05 13:11:05,2019-09-05 13:11:06,0.692s,PASSED
i = 0,Safari 11,,,2019-09-05 13:11:06,2019-09-05 13:11:06,0.001s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/openWebSite""), [:], STOP_ON_FAILURE)",Safari 11,,,2019-09-05 13:11:06,2019-09-05 13:11:16,9.943s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/census_stm""), [""zipcode"":""60602""], STOP_ON_FAILURE)",Safari 11,,,2019-09-05 13:11:16,2019-09-05 13:11:48,32.231s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/filter_stm""), [""carrier"":""slaico""], STOP_ON_FAILURE)",Safari 11,,,2019-09-05 13:11:48,2019-09-05 13:11:58,9.512s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/goToDetail_stm""), [""carrier"":""slaico""], STOP_ON_FAILURE)",Safari 11,,,2019-09-05 13:11:58,2019-09-05 13:12:05,7.545s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/apply_stm""), [:], STOP_ON_FAILURE)",Safari 11,,,2019-09-05 13:12:05,2019-09-05 13:12:14,9.181s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/goToEnd_stm_autofill""), [:], STOP_ON_FAILURE)",Safari 11,,,2019-09-05 13:12:14,2019-09-05 13:13:07,52.404s,PASSED
,,,,,,,
Test Cases/mobileWeb/stm/AdvantHealth,Safari 11,,,2019-09-05 13:13:07,2019-09-05 13:14:56,1m - 49.232s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/get_screenPath""), [""productLine"":""stm"", ""carrierName"":""AdvantHealth""], CONTINUE_ON_FAILURE)",Safari 11,,,2019-09-05 13:13:07,2019-09-05 13:13:07,0.076s,PASSED
i = 0,Safari 11,,,2019-09-05 13:13:07,2019-09-05 13:13:07,0.001s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/openWebSite""), [:], CONTINUE_ON_FAILURE)",Safari 11,,,2019-09-05 13:13:07,2019-09-05 13:13:16,9.240s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/census_stm""), [""zipcode"":""35215""], STOP_ON_FAILURE)",Safari 11,,,2019-09-05 13:13:16,2019-09-05 13:13:29,12.925s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/filter_stm""), [""carrier"":""advanthealth""], STOP_ON_FAILURE)",Safari 11,,,2019-09-05 13:13:29,2019-09-05 13:13:38,8.848s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/goToDetail_stm""), [""carrier"":""advanthealth""], STOP_ON_FAILURE)",Safari 11,,,2019-09-05 13:13:38,2019-09-05 13:13:45,7.252s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/apply_stm""), [:], STOP_ON_FAILURE)",Safari 11,,,2019-09-05 13:13:45,2019-09-05 13:13:55,9.494s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/goToEnd_stm_autofill""), [:], STOP_ON_FAILURE)",Safari 11,,,2019-09-05 13:13:55,2019-09-05 13:14:56,1m - 1.178s,PASSED
,,,,,,,
Test Cases/mobileWeb/stm/Companion,Safari 11,,,2019-09-05 13:14:56,2019-09-05 13:17:23,2m - 27.127s,FAILED
"callTestCase(findTestCase(""mobileWeb/_include/get_screenPath""), [""productLine"":""stm"", ""carrierName"":""Companion""], CONTINUE_ON_FAILURE)",Safari 11,,,2019-09-05 13:14:56,2019-09-05 13:14:56,0.074s,PASSED
i = 0,Safari 11,,,2019-09-05 13:14:56,2019-09-05 13:14:56,0.001s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/openWebSite""), [:], CONTINUE_ON_FAILURE)",Safari 11,,,2019-09-05 13:14:56,2019-09-05 13:15:04,7.669s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/census_stm""), [:], CONTINUE_ON_FAILURE)",Safari 11,,,2019-09-05 13:15:04,2019-09-05 13:15:34,29.892s,PASSED
