Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
stm,Safari 11,,2019-10-29 08:07:38,2019-10-29 08:19:14,11m - 36.184s,FAILED
,,,,,,
Test Cases/mobileWeb/stm/Slaico,Safari 11,,2019-10-29 08:07:38,2019-10-29 08:09:10,1m - 31.753s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/get_screenPath""), [""productLine"":""stm"", ""carrierName"":""Slaico""], CONTINUE_ON_FAILURE)",Safari 11,,2019-10-29 08:07:39,2019-10-29 08:07:40,0.660s,PASSED
i = 0,Safari 11,,2019-10-29 08:07:40,2019-10-29 08:07:40,0.002s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/openWebSite""), [:], STOP_ON_FAILURE)",Safari 11,,2019-10-29 08:07:40,2019-10-29 08:07:48,7.895s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/census_stm""), [""zipcode"":""60602""], STOP_ON_FAILURE)",Safari 11,,2019-10-29 08:07:48,2019-10-29 08:07:58,10.613s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/filter_stm""), [""carrier"":""slaico""], STOP_ON_FAILURE)",Safari 11,,2019-10-29 08:07:58,2019-10-29 08:08:07,8.537s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/goToDetail_stm""), [""carrier"":""slaico""], STOP_ON_FAILURE)",Safari 11,,2019-10-29 08:08:07,2019-10-29 08:08:12,5.138s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/apply_stm""), [:], STOP_ON_FAILURE)",Safari 11,,2019-10-29 08:08:12,2019-10-29 08:08:21,9.428s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/goToEnd_stm_autofill""), [:], STOP_ON_FAILURE)",Safari 11,,2019-10-29 08:08:21,2019-10-29 08:09:10,48.857s,PASSED
,,,,,,
Test Cases/mobileWeb/stm/AdvantHealth,Safari 11,,2019-10-29 08:09:10,2019-10-29 08:10:49,1m - 39.178s,FAILED
"callTestCase(findTestCase(""mobileWeb/_include/get_screenPath""), [""productLine"":""stm"", ""carrierName"":""AdvantHealth""], CONTINUE_ON_FAILURE)",Safari 11,,2019-10-29 08:09:10,2019-10-29 08:09:10,0.071s,PASSED
i = 0,Safari 11,,2019-10-29 08:09:10,2019-10-29 08:09:10,0.000s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/openWebSite""), [:], CONTINUE_ON_FAILURE)",Safari 11,,2019-10-29 08:09:10,2019-10-29 08:09:16,5.617s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/census_stm""), [""zipcode"":""35215""], STOP_ON_FAILURE)",Safari 11,,2019-10-29 08:09:16,2019-10-29 08:09:27,10.876s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/filter_stm""), [""carrier"":""advanthealth""], STOP_ON_FAILURE)",Safari 11,,2019-10-29 08:09:27,2019-10-29 08:09:35,8.018s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/goToDetail_stm""), [""carrier"":""advanthealth""], STOP_ON_FAILURE)",Safari 11,,2019-10-29 08:09:35,2019-10-29 08:09:41,5.908s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/apply_stm""), [:], STOP_ON_FAILURE)",Safari 11,,2019-10-29 08:09:41,2019-10-29 08:09:49,7.784s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/goToEnd_stm_autofill""), [:], STOP_ON_FAILURE)",Safari 11,,2019-10-29 08:09:49,2019-10-29 08:10:49,1m - 0.769s,FAILED
,,,,,,
Test Cases/mobileWeb/stm/Companion,Safari 11,,2019-10-29 08:10:49,2019-10-29 08:12:26,1m - 36.291s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/get_screenPath""), [""productLine"":""stm"", ""carrierName"":""Companion""], CONTINUE_ON_FAILURE)",Safari 11,,2019-10-29 08:10:50,2019-10-29 08:10:50,0.066s,PASSED
i = 0,Safari 11,,2019-10-29 08:10:50,2019-10-29 08:10:50,0.000s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/openWebSite""), [:], CONTINUE_ON_FAILURE)",Safari 11,,2019-10-29 08:10:50,2019-10-29 08:10:58,7.928s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/census_stm""), [:], CONTINUE_ON_FAILURE)",Safari 11,,2019-10-29 08:10:58,2019-10-29 08:11:08,10.483s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/filter_stm""), [""carrier"":""pivotcompanion""], STOP_ON_FAILURE)",Safari 11,,2019-10-29 08:11:08,2019-10-29 08:11:15,7.415s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/goToDetail_stm""), [""carrier"":""pivot-health-choice""], STOP_ON_FAILURE)",Safari 11,,2019-10-29 08:11:15,2019-10-29 08:11:20,4.755s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/apply_stm""), [:], STOP_ON_FAILURE)",Safari 11,,2019-10-29 08:11:20,2019-10-29 08:11:28,7.362s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/goToEnd_stm_autofill""), [:], STOP_ON_FAILURE)",Safari 11,,2019-10-29 08:11:28,2019-10-29 08:12:26,58.144s,PASSED
,,,,,,
Test Cases/mobileWeb/stm/Everest,Safari 11,,2019-10-29 08:12:26,2019-10-29 08:13:46,1m - 19.803s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/get_screenPath""), [""productLine"":""stm"", ""carrierName"":""Everest""], CONTINUE_ON_FAILURE)",Safari 11,,2019-10-29 08:12:26,2019-10-29 08:12:26,0.067s,PASSED
i = 0,Safari 11,,2019-10-29 08:12:26,2019-10-29 08:12:26,0.000s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/openWebSite""), [:], STOP_ON_FAILURE)",Safari 11,,2019-10-29 08:12:26,2019-10-29 08:12:32,5.729s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/census_stm""), [""zipcode"":""83709""], STOP_ON_FAILURE)",Safari 11,,2019-10-29 08:12:32,2019-10-29 08:12:41,9.455s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/filter_stm""), [""carrier"":""everest-one""], STOP_ON_FAILURE)",Safari 11,,2019-10-29 08:12:41,2019-10-29 08:12:48,7.325s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/goToDetail_stm""), [""carrier"":""everest-one""], STOP_ON_FAILURE)",Safari 11,,2019-10-29 08:12:48,2019-10-29 08:12:52,3.429s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/apply_stm""), [:], STOP_ON_FAILURE)",Safari 11,,2019-10-29 08:12:52,2019-10-29 08:12:59,7.055s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/goToEnd_stm_autofill""), [:], STOP_ON_FAILURE)",Safari 11,,2019-10-29 08:12:59,2019-10-29 08:13:46,46.609s,PASSED
,,,,,,
Test Cases/mobileWeb/stm/Everest Prime,Safari 11,,2019-10-29 08:13:46,2019-10-29 08:15:07,1m - 21.375s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/get_screenPath""), [""productLine"":""stm"", ""carrierName"":""Everest Prime""], CONTINUE_ON_FAILURE)",Safari 11,,2019-10-29 08:13:46,2019-10-29 08:13:46,0.066s,PASSED
i = 0,Safari 11,,2019-10-29 08:13:46,2019-10-29 08:13:46,0.001s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/openWebSite""), [:], CONTINUE_ON_FAILURE)",Safari 11,,2019-10-29 08:13:46,2019-10-29 08:13:51,5.705s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/census_stm""), [:], CONTINUE_ON_FAILURE)",Safari 11,,2019-10-29 08:13:51,2019-10-29 08:14:01,9.642s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/filter_stm""), [""carrier"":""everest""], STOP_ON_FAILURE)",Safari 11,,2019-10-29 08:14:01,2019-10-29 08:14:08,7.365s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/goToDetail_stm""), [""carrier"":""everest""], STOP_ON_FAILURE)",Safari 11,,2019-10-29 08:14:08,2019-10-29 08:14:13,4.216s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/apply_stm""), [:], STOP_ON_FAILURE)",Safari 11,,2019-10-29 08:14:13,2019-10-29 08:14:20,7.806s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/goToEnd_stm_autofill""), [:], STOP_ON_FAILURE)",Safari 11,,2019-10-29 08:14:20,2019-10-29 08:15:07,46.427s,PASSED
,,,,,,
Test Cases/mobileWeb/stm/LifeShield,Safari 11,,2019-10-29 08:15:07,2019-10-29 08:16:27,1m - 20.245s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/get_screenPath""), [""productLine"":""stm"", ""carrierName"":""LifeShield""], CONTINUE_ON_FAILURE)",Safari 11,,2019-10-29 08:15:07,2019-10-29 08:15:07,0.072s,PASSED
i = 0,Safari 11,,2019-10-29 08:15:07,2019-10-29 08:15:07,0.000s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/openWebSite""), [:], STOP_ON_FAILURE)",Safari 11,,2019-10-29 08:15:07,2019-10-29 08:15:13,5.424s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/census_stm""), [""zipcode"":""60602""], STOP_ON_FAILURE)",Safari 11,,2019-10-29 08:15:13,2019-10-29 08:15:23,10.001s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/filter_stm""), [""carrier"":""lifeshield""], STOP_ON_FAILURE)",Safari 11,,2019-10-29 08:15:23,2019-10-29 08:15:30,7.426s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/goToDetail_stm""), [""carrier"":""lifeshield""], STOP_ON_FAILURE)",Safari 11,,2019-10-29 08:15:30,2019-10-29 08:15:33,3.433s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/apply_stm""), [:], STOP_ON_FAILURE)",Safari 11,,2019-10-29 08:15:33,2019-10-29 08:15:41,7.537s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/goToEnd_stm_autofill""), [:], STOP_ON_FAILURE)",Safari 11,,2019-10-29 08:15:41,2019-10-29 08:16:27,46.164s,PASSED
,,,,,,
Test Cases/mobileWeb/stm/NationalGeneral,Safari 11,,2019-10-29 08:16:27,2019-10-29 08:17:52,1m - 25.190s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/get_screenPath""), [""productLine"":""stm"", ""carrierName"":""National General""], CONTINUE_ON_FAILURE)",Safari 11,,2019-10-29 08:16:27,2019-10-29 08:16:27,0.063s,PASSED
i = 0,Safari 11,,2019-10-29 08:16:27,2019-10-29 08:16:27,0.000s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/openWebSite""), [:], CONTINUE_ON_FAILURE)",Safari 11,,2019-10-29 08:16:27,2019-10-29 08:16:33,5.560s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/census_stm""), [:], CONTINUE_ON_FAILURE)",Safari 11,,2019-10-29 08:16:33,2019-10-29 08:16:42,9.462s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/filter_stm""), [""carrier"":""nationalgeneral""], STOP_ON_FAILURE)",Safari 11,,2019-10-29 08:16:42,2019-10-29 08:16:50,7.327s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/goToDetail_stm""), [""carrier"":""nationalgeneral""], STOP_ON_FAILURE)",Safari 11,,2019-10-29 08:16:50,2019-10-29 08:16:53,3.665s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/apply_stm""), [:], STOP_ON_FAILURE)",Safari 11,,2019-10-29 08:16:53,2019-10-29 08:17:00,7.092s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/goToEnd_stm_autofill""), [:], STOP_ON_FAILURE)",Safari 11,,2019-10-29 08:17:00,2019-10-29 08:17:52,51.889s,PASSED
,,,,,,
Test Cases/mobileWeb/stm/Aspen,Safari 11,,2019-10-29 08:17:52,2019-10-29 08:19:13,1m - 21.121s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/get_screenPath""), [""productLine"":""stm"", ""carrierName"":""Aspen""], CONTINUE_ON_FAILURE)",Safari 11,,2019-10-29 08:17:52,2019-10-29 08:17:53,0.066s,PASSED
i = 0,Safari 11,,2019-10-29 08:17:53,2019-10-29 08:17:53,0.000s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/openWebSite""), [:], STOP_ON_FAILURE)",Safari 11,,2019-10-29 08:17:53,2019-10-29 08:17:58,5.355s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/census_stm""), [""zipcode"":""60602""], STOP_ON_FAILURE)",Safari 11,,2019-10-29 08:17:58,2019-10-29 08:18:08,10.164s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/filter_stm""), [""carrier"":""aspen""], STOP_ON_FAILURE)",Safari 11,,2019-10-29 08:18:08,2019-10-29 08:18:16,7.443s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/goToDetail_stm""), [""carrier"":""aspen""], STOP_ON_FAILURE)",Safari 11,,2019-10-29 08:18:16,2019-10-29 08:18:19,3.955s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/apply_stm""), [:], STOP_ON_FAILURE)",Safari 11,,2019-10-29 08:18:19,2019-10-29 08:18:27,7.372s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/goToEnd_stm_autofill""), [:], STOP_ON_FAILURE)",Safari 11,,2019-10-29 08:18:27,2019-10-29 08:19:13,46.632s,PASSED
