Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
teladoc,Safari 11,,2019-08-06 06:06:31,2019-08-06 06:08:17,1m - 46.277s,PASSED
,,,,,,
Test Cases/mobileWeb/Teladoc,Safari 11,teladoc application flow,2019-08-06 06:06:31,2019-08-06 06:08:16,1m - 44.637s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/get_screenPath""), [""productLine"":""teladoc"", ""carrierName"":""Teladoc""], CONTINUE_ON_FAILURE)",Safari 11,,2019-08-06 06:06:33,2019-08-06 06:06:34,1.192s,PASSED
i = 0,Safari 11,,2019-08-06 06:06:34,2019-08-06 06:06:34,0.002s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/openWebSite""), [:], STOP_ON_FAILURE)",Safari 11,open site,2019-08-06 06:06:34,2019-08-06 06:06:46,11.978s,PASSED
"click(findTestObject(""mobileSanity/Common/side_nav/menu""))",Safari 11,click menu,2019-08-06 06:06:46,2019-08-06 06:06:46,0.129s,PASSED
Thread.sleep(3000),Safari 11,wait time,2019-08-06 06:06:46,2019-08-06 06:06:49,3.015s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Safari 11,,2019-08-06 06:06:49,2019-08-06 06:06:50,0.664s,PASSED
"click(findTestObject(""mobileSanity/Common/side_nav/nav_teladoc""))",Safari 11,click nav teladoc,2019-08-06 06:06:50,2019-08-06 06:06:51,0.748s,PASSED
waitForPageLoad(20),Safari 11,,2019-08-06 06:06:51,2019-08-06 06:06:51,0.087s,PASSED
"waitForElementVisible(findTestObject(""mobileSanity/Teladoc/front_door_quote_button""), 20)",Safari 11,,2019-08-06 06:06:51,2019-08-06 06:06:51,0.417s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Safari 11,,2019-08-06 06:06:51,2019-08-06 06:06:52,0.804s,PASSED
"click(findTestObject(""mobileSanity/Teladoc/front_door_quote_button""))",Safari 11,click button,2019-08-06 06:06:52,2019-08-06 06:06:53,0.874s,PASSED
waitForPageLoad(20),Safari 11,,2019-08-06 06:06:53,2019-08-06 06:06:54,1.365s,PASSED
"waitForElementVisible(findTestObject(""mobileSanity/Teladoc/census/input_Location_zip-input""), 20)",Safari 11,,2019-08-06 06:06:54,2019-08-06 06:06:54,0.097s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Safari 11,,2019-08-06 06:06:54,2019-08-06 06:06:55,0.772s,PASSED
