Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
teladoc,Safari 11,,,2019-09-05 10:57:05,2019-09-05 11:01:52,4m - 46.562s,INCOMPLETE
,,,,,,,
Test Cases/mobileWeb/Teladoc,Safari 11,teladoc application flow,,2019-09-05 10:57:05,2019-09-05 11:01:52,4m - 46.108s,FAILED
"callTestCase(findTestCase(""mobileWeb/_include/get_screenPath""), [""productLine"":""teladoc"", ""carrierName"":""Teladoc""], CONTINUE_ON_FAILURE)",Safari 11,,,2019-09-05 10:57:06,2019-09-05 10:57:08,1.674s,PASSED
i = 0,Safari 11,,,2019-09-05 10:57:08,2019-09-05 10:57:08,0.005s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/openWebSite""), [:], STOP_ON_FAILURE)",Safari 11,open site,,2019-09-05 10:57:08,2019-09-05 10:59:02,1m - 54.570s,PASSED
"click(findTestObject(""mobileSanity/Common/side_nav/menu""))",Safari 11,click menu,,2019-09-05 10:59:02,2019-09-05 10:59:24,21.642s,PASSED
Thread.sleep(3000),Safari 11,wait time,,2019-09-05 10:59:24,2019-09-05 10:59:27,3.338s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Safari 11,,,2019-09-05 10:59:27,2019-09-05 10:59:29,1.535s,PASSED
"click(findTestObject(""mobileSanity/Common/side_nav/nav_teladoc""))",Safari 11,click nav teladoc,,2019-09-05 10:59:29,2019-09-05 10:59:47,17.681s,PASSED
waitForPageLoad(20),Safari 11,,,2019-09-05 10:59:47,2019-09-05 10:59:51,4.391s,PASSED
"waitForElementVisible(findTestObject(""mobileSanity/Teladoc/front_door_quote_button""), 20)",Safari 11,,,2019-09-05 10:59:51,2019-09-05 10:59:53,1.887s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Safari 11,,,2019-09-05 10:59:53,2019-09-05 10:59:54,1.504s,PASSED
"click(findTestObject(""mobileSanity/Teladoc/front_door_quote_button""))",Safari 11,click button,,2019-09-05 10:59:54,2019-09-05 10:59:59,4.294s,PASSED
waitForPageLoad(20),Safari 11,,,2019-09-05 10:59:59,2019-09-05 11:00:00,1.207s,PASSED
"waitForElementVisible(findTestObject(""mobileSanity/Teladoc/census/input_Location_zip-input""), 20)",Safari 11,,,2019-09-05 11:00:00,2019-09-05 11:00:00,0.225s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Safari 11,,,2019-09-05 11:00:00,2019-09-05 11:00:01,1.299s,PASSED
"sendKeys(findTestObject(""mobileSanity/Teladoc/census/input_Location_zip-input""), ""35215"")",Safari 11,set zip code,,2019-09-05 11:00:01,2019-09-05 11:00:02,0.239s,PASSED
Thread.sleep(500),Safari 11,set dob,,2019-09-05 11:00:02,2019-09-05 11:00:02,0.501s,PASSED
"setText(findTestObject(""mobileSanity/Teladoc/census/input_Date of Birth_dob-0""), ""12121980"")",Safari 11,,,2019-09-05 11:00:02,2019-09-05 11:00:02,0.258s,PASSED
"click(findTestObject(""mobileSanity/Teladoc/census/label_Male""))",Safari 11,,,2019-09-05 11:00:02,2019-09-05 11:00:03,0.233s,PASSED
Thread.sleep(3000),Safari 11,,,2019-09-05 11:00:03,2019-09-05 11:00:06,3.017s,PASSED
"click(findTestObject(""mobileSanity/Teladoc/census/label_Start Secure Application""))",Safari 11,click button,,2019-09-05 11:00:06,2019-09-05 11:00:12,5.881s,PASSED
waitForPageLoad(20),Safari 11,,,2019-09-05 11:00:12,2019-09-05 11:00:13,1.903s,PASSED
"waitForElementPresent(findTestObject(""mobileSanity/Teladoc/Page_App Page 1/input__member-P-1-firstName""), 20)",Safari 11,,,2019-09-05 11:00:13,2019-09-05 11:00:14,0.302s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Safari 11,,,2019-09-05 11:00:14,2019-09-05 11:00:15,1.338s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/name""), [:], STOP_ON_FAILURE)",Safari 11,get name,,2019-09-05 11:00:15,2019-09-05 11:00:17,2.290s,PASSED
"setText(findTestObject(""mobileSanity/Teladoc/Page_App Page 1/input__member-P-1-firstName""), FirstName)",Safari 11,,,2019-09-05 11:00:17,2019-09-05 11:00:18,0.534s,PASSED
"setText(findTestObject(""mobileSanity/Teladoc/Page_App Page 1/input__member-P-1-lastName""), LastName)",Safari 11,,,2019-09-05 11:00:18,2019-09-05 11:00:19,1.255s,PASSED
"selectOptionByValue(findTestObject(""mobileSanity/Teladoc/Page_App Page 1/select_01020304050607""), ""05"", true)",Safari 11,,,2019-09-05 11:00:19,2019-09-05 11:00:20,1.203s,PASSED
"selectOptionByValue(findTestObject(""mobileSanity/Teladoc/Page_App Page 1/select_00102030405060708091011""), ""06"", true)",Safari 11,,,2019-09-05 11:00:20,2019-09-05 11:00:22,1.143s,PASSED
"setText(findTestObject(""mobileSanity/Teladoc/Page_App Page 1/input_lbs""), ""180"")",Safari 11,,,2019-09-05 11:00:22,2019-09-05 11:00:22,0.257s,PASSED
"setText(findTestObject(""mobileSanity/Teladoc/Page_App Page 1/input__address""), Address)",Safari 11,,,2019-09-05 11:00:22,2019-09-05 11:00:22,0.483s,PASSED
"setText(findTestObject(""mobileSanity/Teladoc/Page_App Page 1/input__city""), City)",Safari 11,,,2019-09-05 11:00:22,2019-09-05 11:00:23,0.469s,PASSED
"setText(findTestObject(""mobileSanity/Teladoc/Page_App Page 1/input__email""), AutoEmail)",Safari 11,,,2019-09-05 11:00:23,2019-09-05 11:00:24,1.340s,PASSED
"setText(findTestObject(""mobileSanity/Teladoc/Page_App Page 1/input_phone number""), Tel)",Safari 11,,,2019-09-05 11:00:24,2019-09-05 11:00:25,0.592s,PASSED
"click(findTestObject(""mobileSanity/Teladoc/Page_App Page 1/a_Continue to Step 2 - Payment""))",Safari 11,,,2019-09-05 11:00:25,2019-09-05 11:00:25,0.465s,PASSED
waitForPageLoad(20),Safari 11,,,2019-09-05 11:00:25,2019-09-05 11:00:25,0.086s,PASSED
"waitForElementVisible(findTestObject(""mobileSanity/Teladoc/Page_App Page 2/input__credit-card-first""), 20)",Safari 11,,,2019-09-05 11:00:25,2019-09-05 11:00:31,5.773s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Safari 11,,,2019-09-05 11:00:31,2019-09-05 11:00:33,1.680s,PASSED
"setText(findTestObject(""mobileSanity/Teladoc/Page_App Page 2/input__credit-card-first""), FirstName)",Safari 11,,,2019-09-05 11:00:33,2019-09-05 11:00:33,0.412s,PASSED
"setText(findTestObject(""mobileSanity/Teladoc/Page_App Page 2/input__credit-card-last""), LastName)",Safari 11,,,2019-09-05 11:00:33,2019-09-05 11:00:34,0.548s,PASSED
"selectOptionByValue(findTestObject(""mobileSanity/Teladoc/Page_App Page 2/select_MM010203040506070809101""), ""12"", true)",Safari 11,,,2019-09-05 11:00:34,2019-09-05 11:00:35,1.185s,PASSED
"selectOptionByValue(findTestObject(""mobileSanity/Teladoc/Page_App Page 2/select_YYYY2019202020212022202""), ""2026"", true)",Safari 11,,,2019-09-05 11:00:35,2019-09-05 11:00:36,0.962s,PASSED
"setText(findTestObject(""mobileSanity/Teladoc/Page_App Page 2/input__credit-card-number""), ""4111111111111111"")",Safari 11,,,2019-09-05 11:00:36,2019-09-05 11:00:36,0.473s,PASSED
"setText(findTestObject(""mobileSanity/Teladoc/Page_App Page 2/input__credit-card-cvv""), ""122"")",Safari 11,,,2019-09-05 11:00:36,2019-09-05 11:00:37,0.263s,PASSED
"click(findTestObject(""mobileSanity/Teladoc/Page_App Page 2/label_My billing address is th""))",Safari 11,,,2019-09-05 11:00:37,2019-09-05 11:00:37,0.348s,PASSED
"click(findTestObject(""mobileSanity/Teladoc/Page_App Page 2/label_I Accept Authorization f""))",Safari 11,,,2019-09-05 11:00:37,2019-09-05 11:00:37,0.296s,PASSED
"click(findTestObject(""mobileSanity/Teladoc/Page_App Page 2/a_Continue to Step 3 - Review""))",Safari 11,,,2019-09-05 11:00:37,2019-09-05 11:00:38,0.437s,PASSED
waitForPageLoad(20),Safari 11,,,2019-09-05 11:00:38,2019-09-05 11:00:38,0.052s,PASSED
"waitForElementPresent(findTestObject(""mobileSanity/Teladoc/Page_App Page 3/label""), 20)",Safari 11,,,2019-09-05 11:00:38,2019-09-05 11:00:50,12.762s,PASSED
Thread.sleep(5000),Safari 11,,,2019-09-05 11:00:50,2019-09-05 11:00:55,5.001s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Safari 11,,,2019-09-05 11:00:55,2019-09-05 11:00:56,0.810s,PASSED
"scrollToElement(findTestObject(""mobileSanity/Teladoc/Page_App Page 3/label""), 10)",Safari 11,,,2019-09-05 11:00:56,2019-09-05 11:00:56,0.065s,PASSED
"waitForElementClickable(findTestObject(""mobileSanity/Teladoc/Page_App Page 3/label""), 10)",Safari 11,,,2019-09-05 11:00:56,2019-09-05 11:00:56,0.053s,PASSED
"click(findTestObject(""mobileSanity/Teladoc/Page_App Page 3/label""))",Safari 11,,,2019-09-05 11:00:56,2019-09-05 11:00:57,0.159s,PASSED
"click(findTestObject(""mobileSanity/Teladoc/Page_App Page 3/p_""))",Safari 11,,,2019-09-05 11:00:57,2019-09-05 11:00:57,0.252s,PASSED
"click(findTestObject(""mobileSanity/Teladoc/Page_App Page 3/a_Submit Your Application""))",Safari 11,,,2019-09-05 11:00:57,2019-09-05 11:00:57,0.234s,PASSED
Thread.sleep(50000),Safari 11,,,2019-09-05 11:00:57,2019-09-05 11:01:47,50.003s,PASSED
"callTestCase(findTestCase(""mobileWeb/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Safari 11,,,2019-09-05 11:01:47,2019-09-05 11:01:51,4.457s,FAILED
